step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.174793243408203,65.02639363551275,0.018798828125,,,,4.174793243408203,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,2.9999999999999997e-05,6.896736145019531,0.0,6.896736145019531,4096,0.37890804233029485,10810.010721359959,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.402547836303711,30.040541007481217,0.15771484375,,,,3.402547836303711,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,6.599999999999999e-05,1.3390119075775146,0.0,1.3390119075775146,86016,0.25324962474405766,16173.76532794294,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.9537510871887207,19.17775641135976,0.254150390625,,,,2.9537510871887207,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00012599999999999997,1.1427397727966309,0.0,1.1427397727966309,167936,0.2614041669294238,15669.222293253933,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.7583274841308594,15.773439546408673,0.25732421875,,,,2.7583274841308594,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.000186,1.1671333312988281,0.0,1.1671333312988281,249856,0.2559341248124838,16004.118258950546,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.62691068649292,13.830975613898676,0.272216796875,,,,2.62691068649292,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00024599999999999996,1.1208964586257935,0.0,1.1208964586257935,331776,0.25563687505200505,16022.72754729433,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.554220199584961,12.861266525135935,0.26904296875,,,,2.554220199584961,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999999722532997,0.9369480013847351,0.0,0.9369480013847351,413696,0.25876241736114025,15829.19205103669,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.5015745162963867,12.201690604723789,0.281982421875,,,,2.5015745162963867,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999877638895945,0.8293884992599487,0.0,0.8293884992599487,495616,0.2520174589008093,16252.842235077575,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.5087454319000244,12.289502367353434,0.27734375,,,,2.5087454319000244,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002999533604809292,0.9691069722175598,0.0,0.9691069722175598,577536,0.24543108325451612,16689.002654779386,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.466344118118286,11.779304292505762,0.27734375,,,,2.466344118118286,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998967676840031,0.8250483274459839,0.0,0.8250483274459839,659456,0.24650095775723457,16616.56829761257,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.5000619888305664,12.18324916266428,0.28125,,,,2.5000619888305664,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002998179948039535,0.6251261830329895,0.0,0.6251261830329895,741376,0.24834887497127056,16492.92754184545,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,train,2.434833526611328,11.413918441517998,0.29345703125,,,,2.434833526611328,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00029971705479282546,0.8873242139816284,0.0,0.8873242139816284,823296,0.24935812503099442,16426.174200222595,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
