step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec
0,grpo_train,-1.415088415145874,0.13147428631782532,-1.4115158319473267,-1.4188213348388672,1.3155767917633057,0.09951171278953552,7.189887440972598e-08,-6.411457434296608e-06,0.999567985534668,3.6581186577677727e-06,3.658837613329524e-06,0.024131249636411667,0.0,0.9999993443489075,9.999977793408364e-05,0.0035659936256706715,0.0035659936256706715,0.0,4096,0.9440170838497579,4338.9045283971645,,,,,,,,,
10,grpo_train,-1.437567949295044,0.15182633697986603,-1.434272289276123,-1.4409199953079224,1.338041067123413,0.09952697902917862,4.458280272956472e-06,-6.98259100317955e-06,0.9995041489601135,6.590737029910088e-06,6.635320005443646e-06,0.02365982159972191,0.0,0.9999997615814209,9.997313267597379e-05,0.0019141450757160783,0.0019141450757160783,0.0,45056,0.5711212921887636,7171.856584618831,,,,,,,,,
20,grpo_train,-1.4768918752670288,0.28372907638549805,-1.4718811511993408,-1.482041358947754,1.377349615097046,0.09954223781824112,1.3257800674182363e-05,-5.5050477385520935e-06,0.999681293964386,4.637520760297775e-06,4.770098712469917e-06,0.02284214459359646,0.0,0.9999997615814209,9.990210436558489e-05,0.002840269124135375,0.002840269124135375,0.0,86016,0.6295607918873429,6506.123082602896,,,,,,,,,
30,grpo_train,-1.3012877702713013,0.15124768018722534,-1.2965773344039917,-1.3066704273223877,1.201766848564148,0.09952087700366974,2.5152943635475822e-05,1.0291114449501038e-07,0.9995938539505005,5.3318217396736145e-08,3.048476457934157e-07,0.02235392853617668,0.0,0.9999999403953552,9.978676309928387e-05,0.00203068763948977,0.00203068763948977,0.0,126976,0.5969382091425359,6861.681723948691,,,,,,,,,
40,grpo_train,-1.4004243612289429,0.2799433171749115,-1.3952820301055908,-1.4067401885986328,1.30088210105896,0.09954224526882172,3.5043180105276406e-05,-6.552785634994507e-06,0.9996357560157776,4.974193871021271e-06,5.324625817593187e-06,0.022147642448544502,0.0,0.9999992251396179,9.962722270497532e-05,0.005215237382799387,0.005215237382799387,0.0,167936,0.6047649998217821,6772.878723482755,,,,,,,,,
50,grpo_train,-1.357047438621521,0.08373890817165375,-1.3536574840545654,-1.3602118492126465,1.2575294971466064,0.0995178297162056,2.9112336051184684e-05,-6.226822733879089e-06,0.9994452595710754,6.656628102064133e-06,6.9477514443860855e-06,0.02241593413054943,0.0,1.0000004768371582,9.942364062976685e-05,0.004920182749629021,0.004920182749629021,0.0,208896,0.5858809999190271,6991.180803893788,,,,,,,,,
60,grpo_train,-1.3414489030838013,0.1952122449874878,-1.3378753662109375,-1.345348834991455,1.2419188022613525,0.09953003376722336,2.8646978535107337e-05,6.661750376224518e-06,0.9995940923690796,-6.756745278835297e-06,-6.470275366154965e-06,0.022461984306573868,0.0,1.0,9.917621778458792e-05,0.001379371271468699,0.001379371271468699,0.0,249856,0.6025858339853585,6797.371874658978,,,,,,,,,
70,grpo_train,-1.416144847869873,0.16935856640338898,-1.4125652313232422,-1.4194972515106201,1.3166544437408447,0.09949035197496414,2.5468412786722183e-05,-3.5837292671203613e-06,0.9996143579483032,3.191642463207245e-06,3.44632667292899e-06,0.02265259623527527,0.0,0.999999463558197,9.888519834591501e-05,0.0021271524019539356,0.0021271524019539356,0.0,290816,0.5988060422241688,6840.278339186536,,,,,,,,,
80,grpo_train,-1.373690128326416,0.1390639692544937,-1.370026707649231,-1.377197504043579,1.2741234302520752,0.09956665337085724,3.4192740713479e-05,-8.907169103622437e-06,0.9995898604393005,8.742325007915497e-06,9.084252269531135e-06,0.02284950017929077,0.0,0.999998927116394,9.85508695147989e-05,0.0013326992047950625,0.0013326992047950625,0.0,331776,0.5824521249160171,7032.337637347613,,,,,,,,,
90,grpo_train,-1.3841488361358643,0.1635703146457672,-1.3804244995117188,-1.3876127004623413,1.2845637798309326,0.09958495944738388,3.943393676308915e-05,-3.1068921089172363e-06,0.9994364380836487,3.227032721042633e-06,3.6213721159583656e-06,0.02283768728375435,0.0,1.000000238418579,9.817356123343189e-05,0.002652912400662899,0.002652912400662899,0.0,372736,0.5834722500294447,7020.042512378775,,,,,,,,,
