step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.190176486968994,66.03444415095895,0.018310546875,,,,4.190176486968994,0.1609792411327362,0.0,0.5,0.9001085162162781,0.901214599609375,7.209716796875,0.901214599609375,0.098785400390625,0.3248434066772461,2.9999999999999997e-05,6.149465084075928,0.02093162201344967,6.1494293212890625,4096,1.4370997911319137,2850.184813382957,,0.90478515625,0.901611328125,0.903076171875,0.897705078125,0.90087890625,0.8984375,0.904052734375,0.899169921875,0.9000071883201599,0.9001992344856262,0.9000391364097595,0.9001823663711548,0.8997732400894165,0.900091290473938,0.9001649618148804,0.9004107117652893
20,train,3.380915641784668,29.39767653455286,0.154541015625,,,,3.380915641784668,0.16483262181282043,0.0,0.5,0.9063907861709595,0.905975341796875,7.247802734375,0.905975341796875,0.094024658203125,0.3106924295425415,6.599999999999999e-05,1.0796757936477661,0.008699115365743637,1.0796407461166382,86016,0.27025691606104374,15155.948864134985,,0.89892578125,0.909423828125,0.9072265625,0.90087890625,0.90625,0.904296875,0.909423828125,0.911376953125,0.900113582611084,0.9013555645942688,0.9036340713500977,0.9064525365829468,0.9070316553115845,0.908323347568512,0.9109408259391785,0.9132753014564514
40,train,3.0342040061950684,20.784427037996686,0.234375,,,,3.0342040061950684,0.1677323579788208,0.0,0.5,0.9092454314231873,0.90936279296875,7.27490234375,0.90936279296875,0.09063720703125,0.30376070737838745,0.00012599999999999997,1.2678580284118652,0.05960391089320183,1.2664562463760376,167936,0.2452519158832729,16701.194709318734,,0.89892578125,0.89990234375,0.888916015625,0.90771484375,0.910400390625,0.918212890625,0.9287109375,0.922119140625,0.9006969332695007,0.9022253155708313,0.9038372039794922,0.9062401652336121,0.9095921516418457,0.9113215804100037,0.9181352853775024,0.9219150543212891
60,train,2.775346279144287,16.0441817993881,0.259521484375,,,,2.775346279144287,0.17892685532569885,0.0,0.5,0.9216762185096741,0.9227294921875,7.3818359375,0.9227294921875,0.0772705078125,0.271422803401947,0.000186,1.1487244367599487,0.04003940150141716,1.148026466369629,249856,0.2529822923243046,16190.856531370311,,0.9091796875,0.910400390625,0.91015625,0.909912109375,0.9208984375,0.9287109375,0.944580078125,0.947998046875,0.9018909931182861,0.9045977592468262,0.9083707332611084,0.9142062067985535,0.9220538139343262,0.9312654733657837,0.9421483278274536,0.9488762617111206
80,train,2.662179946899414,14.327488243655772,0.25439453125,,,,2.662179946899414,0.1866709291934967,0.0,0.5,0.9314473271369934,0.931427001953125,7.451416015625,0.931427001953125,0.068572998046875,0.24299941956996918,0.00024599999999999996,0.9060235619544983,0.04015854001045227,0.9051331281661987,331776,0.2526636249385774,16211.276953679971,,0.89990234375,0.909912109375,0.911865234375,0.92236328125,0.931884765625,0.947509765625,0.9599609375,0.968017578125,0.9034897089004517,0.9074758291244507,0.913228452205658,0.9212898015975952,0.9344244599342346,0.9461345672607422,0.9600254893302917,0.965510368347168
100,train,2.540085792541504,12.680758838696704,0.2666015625,,,,2.540085792541504,0.19499647617340088,0.0,0.5,0.9391653537750244,0.94073486328125,7.52587890625,0.94073486328125,0.05926513671875,0.21784144639968872,0.0002999999722532997,1.1451481580734253,0.03160781413316727,1.144711971282959,413696,0.2527184998616576,16207.756860863845,,0.906005859375,0.914306640625,0.921142578125,0.92529296875,0.94287109375,0.9541015625,0.977294921875,0.98486328125,0.9052576422691345,0.9099928140640259,0.918502688407898,0.926536500453949,0.9433894157409668,0.9563802480697632,0.9735510349273682,0.979712724685669
120,train,2.5637283325195312,12.98413636267328,0.25048828125,,,,2.5637283325195312,0.19463595747947693,0.0,0.5,0.9398298859596252,0.9404296875,7.5234375,0.9404296875,0.0595703125,0.21424229443073273,0.0002999877638895945,1.5359573364257812,0.03858884051442146,1.5354725122451782,495616,0.24991633417084813,16389.484959393998,,0.91455078125,0.9111328125,0.918701171875,0.931640625,0.935302734375,0.956298828125,0.970947265625,0.98486328125,0.906912088394165,0.912293553352356,0.9202649593353271,0.9301472902297974,0.9411735534667969,0.9563940763473511,0.9719421863555908,0.9795116782188416
140,train,2.5236268043518066,12.473754592030058,0.269287109375,,,,2.5236268043518066,0.19655629992485046,0.0,0.5,0.9436478018760681,0.9423828125,7.5390625,0.9423828125,0.0576171875,0.20148983597755432,0.0002999533604809292,0.6888967156410217,0.034726426005363464,0.6880209445953369,577536,0.2602907922118902,15736.246239035776,,0.9033203125,0.912109375,0.92236328125,0.930419921875,0.93994140625,0.96484375,0.979248046875,0.98681640625,0.908771276473999,0.9141073226928711,0.9228314757347107,0.9309366345405579,0.944064736366272,0.9634227156639099,0.9790756106376648,0.9859728217124939
160,train,2.498410701751709,12.163147721935776,0.271240234375,,,,2.498410701751709,0.20041942596435547,0.0,0.5,0.9444339871406555,0.946868896484375,7.574951171875,0.946868896484375,0.053131103515625,0.19780270755290985,0.0002998967676840031,0.8068289160728455,0.016590237617492676,0.8066583275794983,659456,0.25661537470296025,15961.631312002404,,0.927734375,0.91943359375,0.91650390625,0.927734375,0.946044921875,0.965576171875,0.984130859375,0.98779296875,0.910206139087677,0.9156575202941895,0.9231889247894287,0.931933581829071,0.9459517598152161,0.9628520607948303,0.9799099564552307,0.9857719540596008
180,train,2.499626874923706,12.177949214647022,0.2744140625,,,,2.499626874923706,0.1995658278465271,0.0,0.5,0.9468247890472412,0.94561767578125,7.56494140625,0.94561767578125,0.05438232421875,0.1883630007505417,0.0002998179948039535,0.6801656484603882,0.03722677379846573,0.6791461706161499,741376,0.2511787083931267,16307.11466829122,,0.904541015625,0.912109375,0.91845703125,0.929931640625,0.955078125,0.971923828125,0.983642578125,0.9892578125,0.9114314317703247,0.9151039719581604,0.9238760471343994,0.9294958710670471,0.9531217813491821,0.9691069722175598,0.9826213717460632,0.9898411631584167
200,train,2.4951977729797363,12.124131107028274,0.274658203125,,,,2.4951977729797363,0.20091217756271362,0.0,0.5,0.9479437470436096,0.947235107421875,7.577880859375,0.947235107421875,0.052764892578125,0.1849837601184845,0.00029971705479282546,0.6663637161254883,0.03574370965361595,0.6654043793678284,823296,0.25521245785057545,16049.373273142373,,0.910400390625,0.915283203125,0.932861328125,0.91943359375,0.95361328125,0.97412109375,0.984619140625,0.987548828125,0.9130245447158813,0.9166998863220215,0.9237308502197266,0.9287893772125244,0.9547312259674072,0.9718629121780396,0.984248161315918,0.9904632568359375
220,train,2.402310848236084,11.048678723009706,0.289306640625,,,,2.402310848236084,0.20785877108573914,0.0,0.5,0.9532191753387451,0.9549560546875,7.6396484375,0.9549560546875,0.0450439453125,0.16918307542800903,0.00029959396424744254,0.646753191947937,0.02877548523247242,0.6461126804351807,905216,0.2806031247600913,14597.128964625672,,0.913330078125,0.920654296875,0.931640625,0.947265625,0.962890625,0.978515625,0.989990234375,0.995361328125,0.9143823385238647,0.9195709824562073,0.9320119619369507,0.9406173229217529,0.962725043296814,0.9760013818740845,0.987906813621521,0.9925373792648315
