step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,mor_aux_loss,mor_router_accuracy,mean_recursions_per_token,estimated_block_flops,estimated_flops_vs_full_dense,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.210622310638428,67.39846954671549,0.02001953125,,,,4.210622310638428,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,5.658756732940674,0.0,5.658756732940674,4096,0.5626980839297175,7279.214408186258,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.1592042446136475,23.551846961183482,0.253662109375,,,,3.1592042446136475,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.0184779167175293,0.0,2.0184779167175293,86016,0.10725604183971882,38188.99084604462,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.808499813079834,16.58501891820216,0.258056640625,,,,2.808499813079834,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.4828643798828125,0.0,1.4828643798828125,167936,0.10968212503939867,37344.28010515556,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.6864371299743652,14.6792822651941,0.250732421875,,,,2.6864371299743652,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.868090033531189,0.0,1.868090033531189,249856,0.11000562505796552,37234.459581877614,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.621337413787842,13.754106221041942,0.251220703125,,,,2.621337413787842,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.702996015548706,0.0,1.702996015548706,331776,0.0969719160348177,42239.033397353254,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.628170967102051,13.848417512805133,0.2451171875,,,,2.628170967102051,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8184860944747925,0.0,1.8184860944747925,413696,0.10972312511876225,37330.32572273681,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.5272045135498047,12.518461985906791,0.2587890625,,,,2.5272045135498047,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.025712728500366,0.0,2.025712728500366,495616,0.11028429213911295,37140.37530234399,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.525524616241455,12.497449909318878,0.27001953125,,,,2.525524616241455,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.532745599746704,0.0,1.532745599746704,577536,0.10899529187008739,37579.60485928204,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.567051410675049,13.027355432990781,0.26318359375,,,,2.567051410675049,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9461697340011597,0.0,1.9461697340011597,659456,0.10596116585657,38655.67131966425,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.50738525390625,12.272797819833288,0.268310546875,,,,2.50738525390625,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.785178780555725,0.0,1.785178780555725,741376,0.11099654110148549,36902.05081485357,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,validation,,,,2.533765423297882,12.600864507345966,0.261181640625,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.4691084581427276,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,train,2.524907112121582,12.48973506473127,0.256103515625,,,,2.524907112121582,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5371017456054688,0.0,1.5371017456054688,823296,0.1005824999883771,40722.78975441371,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,train,2.4590463638305664,11.69365472895471,0.27685546875,,,,2.4590463638305664,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5103594064712524,0.0,1.5103594064712524,905216,0.10579720931127667,38715.57696714612,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,train,2.4840359687805176,11.989556375102895,0.263427734375,,,,2.4840359687805176,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8068618774414062,0.0,1.8068618774414062,987136,0.10814570914953947,37874.826770391956,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,train,2.522366762161255,12.458047033141217,0.257568359375,,,,2.522366762161255,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.7210917472839355,0.0,1.7210917472839355,1069056,0.10636837501078844,38507.68613870958,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
280,train,2.4829628467559814,11.976697019155457,0.279541015625,,,,2.4829628467559814,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5448169708251953,0.0,1.5448169708251953,1150976,0.11040449980646372,37099.9371147026,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,train,2.450316905975342,11.592019717509856,0.2783203125,,,,2.450316905975342,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.3564555644989014,0.0,1.3564555644989014,1232896,0.11170800030231476,36667.0246438484,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,train,2.449045419692993,11.577289989762148,0.272216796875,,,,2.449045419692993,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.2676922082901,0.0,1.2676922082901,1314816,0.10856050020083785,37730.11355347816,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,train,2.4530818462371826,11.624115310293927,0.277587890625,,,,2.4530818462371826,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.3542733192443848,0.0,1.3542733192443848,1396736,0.10402212524786592,39376.23837467243,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,train,2.454585552215576,11.641607710396807,0.28125,,,,2.454585552215576,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.717348337173462,0.0,1.717348337173462,1478656,0.12337879184633493,33198.5743960069,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,train,2.450289249420166,11.59169912661018,0.29150390625,,,,2.450289249420166,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9050240516662598,0.0,1.9050240516662598,1560576,0.18509875005111098,22128.728577956248,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
399,validation,,,,2.4420542240142824,11.496633162366598,0.28717041015625,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.5009345840662718,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,train,2.406113862991333,11.090777010685246,0.2939453125,,,,2.406113862991333,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.595152735710144,0.0,1.595152735710144,1642496,0.11286445800215006,36291.31856480427,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
420,train,2.4019670486450195,11.04488084467485,0.296142578125,,,,2.4019670486450195,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9783281087875366,0.0,1.9783281087875366,1724416,0.10799570800736547,37927.433187628594,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,train,2.397747039794922,10.998369557807722,0.2900390625,,,,2.397747039794922,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.3904054164886475,0.0,1.3904054164886475,1806336,0.11816687509417534,34662.84436087198,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,train,2.370899200439453,10.707015709999894,0.297119140625,,,,2.370899200439453,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.6417800188064575,0.0,1.6417800188064575,1888256,0.1521675419062376,26917.698404590566,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,train,2.3799819946289062,10.80470831939699,0.295166015625,,,,2.3799819946289062,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.7735371589660645,0.0,1.7735371589660645,1970176,0.11906645772978663,34400.9562230834,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,train,2.3302650451660156,10.280666012802518,0.3134765625,,,,2.3302650451660156,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5140860080718994,0.0,1.5140860080718994,2052096,0.11164787504822016,36686.77078028541,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,train,2.3600733280181885,10.591728094388978,0.304443359375,,,,2.3600733280181885,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.4012993574142456,0.0,1.4012993574142456,2134016,0.11566275032237172,35413.30280132327,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,train,2.3373918533325195,10.354196053322108,0.30517578125,,,,2.3373918533325195,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.6165533065795898,0.0,1.6165533065795898,2215936,0.11443179193884134,35794.248526573174,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
560,train,2.334524393081665,10.324548334851212,0.307373046875,,,,2.334524393081665,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5045018196105957,0.0,1.5045018196105957,2297856,0.11269583320245147,36345.62062859747,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
580,train,2.3047051429748535,10.021222988757442,0.31787109375,,,,2.3047051429748535,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.2307136058807373,0.0,2.2307136058807373,2379776,0.11547391582280397,35471.21417693463,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
599,validation,,,,2.364123725891113,10.63471580723306,0.3045166015625,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.4982139589264989,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,train,2.32657790184021,10.242829520878574,0.313232421875,,,,2.32657790184021,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.1042213439941406,0.0,2.1042213439941406,2461696,0.10519279167056084,38938.02925991081,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620,train,2.271170139312744,9.690733690718334,0.320068359375,,,,2.271170139312744,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8151633739471436,0.0,1.8151633739471436,2543616,0.11498945904895663,35620.65630951557,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
