token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.9848101265822784,4.015189873417722
1, ,3089,3.82971835545484,4.17028164454516
2,!,42,2.9047619047619047,5.095238095238095
5,',128,2.96875,5.03125
6,",",389,2.8123393316195373,5.187660668380463
7,-,34,3.588235294117647,4.411764705882353
8,.,159,3.119496855345912,4.880503144654088
10,:,216,3.2314814814814814,4.768518518518519
11,;,70,2.7142857142857144,5.285714285714286
12,?,44,2.9545454545454546,5.045454545454545
13,A,180,3.188888888888889,4.811111111111111
14,B,60,3.3,4.7
15,C,57,3.789473684210526,4.210526315789474
16,D,27,3.111111111111111,4.888888888888889
17,E,84,3.9761904761904763,4.023809523809524
18,F,17,3.176470588235294,4.8235294117647065
19,G,49,3.7142857142857144,4.285714285714286
20,H,60,3.466666666666667,4.533333333333333
21,I,252,3.5634920634920637,4.436507936507937
22,J,1,4.0,4.0
23,K,30,2.8,5.2
24,L,63,3.2063492063492065,4.7936507936507935
25,M,43,3.5813953488372094,4.4186046511627906
26,N,97,3.917525773195876,4.082474226804123
27,O,170,3.0,5.0
28,P,82,3.707317073170732,4.2926829268292686
30,R,108,3.888888888888889,4.111111111111111
31,S,91,3.7362637362637363,4.263736263736264
32,T,160,3.7375,4.2625
33,U,44,4.0,4.0
34,V,4,3.0,5.0
35,W,52,3.4615384615384617,4.538461538461538
37,Y,10,3.0,5.0
38,Z,10,4.0,4.0
39,a,1075,2.426046511627907,5.5739534883720925
40,b,211,2.3317535545023698,5.66824644549763
41,c,255,2.6588235294117646,5.341176470588236
42,d,552,2.1847826086956523,5.815217391304348
43,e,1691,2.31224127735068,5.6877587226493205
44,f,284,2.408450704225352,5.591549295774648
45,g,208,2.394230769230769,5.605769230769231
46,h,979,2.4780388151174666,5.521961184882533
47,i,801,2.624219725343321,5.3757802746566785
48,j,7,2.2857142857142856,5.714285714285714
49,k,126,2.3968253968253967,5.603174603174603
50,l,558,2.369175627240143,5.630824372759857
51,m,410,2.297560975609756,5.7024390243902445
52,n,853,2.229777256740914,5.770222743259086
53,o,1166,2.4288164665523158,5.571183533447684
54,p,202,2.3267326732673266,5.673267326732674
55,q,8,3.75,4.25
56,r,833,2.2881152460984393,5.711884753901561
57,s,974,2.5010266940451746,5.498973305954825
58,t,1249,2.491593274619696,5.508406725380304
59,u,471,2.4203821656050954,5.579617834394904
60,v,126,2.4126984126984126,5.587301587301587
61,w,355,2.636619718309859,5.363380281690141
62,x,3,2.0,6.0
63,y,363,2.4738292011019283,5.526170798898072
64,z,8,2.5,5.5
