step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec,estimated_block_flops,estimated_flops_vs_full_dense,mor_aux_loss,mor_router_accuracy,mean_recursions_per_token,budget_1_recursions,budget_1_depth,budget_1_ce,budget_1_reward,budget_1_flops_vs_full_dense,budget_2_recursions,budget_2_depth,budget_2_ce,budget_2_reward,budget_2_flops_vs_full_dense,budget_3_recursions,budget_3_depth,budget_3_ce,budget_3_reward,budget_3_flops_vs_full_dense,recursion_1_utilization,recursion_1_soft_utilization,recursion_2_utilization,recursion_2_soft_utilization,recursion_3_utilization,recursion_3_soft_utilization
0,grpo_train,-2.824498176574707,0.24185597896575928,-2.622070789337158,-3.063772678375244,2.0679309368133545,0.7565671801567078,7.18851964620626e-08,-9.934107758624577e-09,0.9999945163726807,-0.3382698893547058,-0.3382698893547058,0.5786362886428833,0.35560208559036255,0.9964265823364258,9.999753262144806e-05,0.09631864726543427,0.09631864726543427,0.0,3072,3.217777832876891,954.6961162490959,,,,,,,,,,,,,,,1.1201171875,4.240234375,2.094367027282715,-2.622070789337158,0.5277040600776672,1.978515625,5.95703125,2.0457863807678223,-2.7876503467559814,0.7418642044067383,3.0,8.0,2.0636398792266846,-3.063772678375244,1.0001331567764282,1.0,0.7062491774559021,0.677734375,0.6102439165115356,0.3551432192325592,0.19899378716945648
10,grpo_train,-2.9138498306274414,0.24825003743171692,-2.7002267837524414,-3.157606363296509,2.1561100482940674,0.7577396035194397,5.224824417382479e-05,-6.953874986947994e-08,0.9999946355819702,-0.3185698390007019,-0.3185693025588989,0.575345516204834,0.3545804023742676,0.9860279560089111,9.970177445201784e-05,0.10061938315629959,0.10061938315629959,0.0,33792,1.4006832498125732,2193.2153471608,,,,,,,,,,,,,,,1.1240234375,4.248046875,2.1716132164001465,-2.7002267837524414,0.5286136269569397,1.98828125,5.9765625,2.139244556427002,-2.883716583251953,0.7444722056388855,3.0,8.0,2.157473087310791,-3.157606363296509,1.0001331567764282,1.0,0.7146369814872742,0.6829426884651184,0.6285032629966736,0.3544921875,0.20351195335388184
20,grpo_train,-2.9071719646453857,0.22827258706092834,-2.6927263736724854,-3.1529440879821777,2.1507532596588135,0.7564186453819275,0.00019270293705631047,2.036492077195362e-07,0.999994695186615,-0.3294559121131897,-0.3294539749622345,0.574998140335083,0.35928434133529663,0.9919313788414001,9.891625428724362e-05,0.10002284497022629,0.10002284497022629,0.0,64512,1.5563875841908157,1973.8014047427455,,,,,,,,,,,,,,,1.1162109375,4.232421875,2.1659317016601562,-2.6927263736724854,0.5267945528030396,1.98046875,5.9609375,2.1335177421569824,-2.8758459091186523,0.7423282861709595,3.0,8.0,2.152811050415039,-3.1529440879821777,1.0001331567764282,1.0,0.7049940228462219,0.6764323115348816,0.5941640734672546,0.3557942807674408,0.19620950520038605
30,grpo_train,-2.871946334838867,0.21858344972133636,-2.6724729537963867,-3.111488103866577,2.1167640686035156,0.7551823258399963,0.0005248506786301732,-1.0927518445669193e-07,0.9999944567680359,-0.3407328128814697,-0.3407275676727295,0.5670171976089478,0.3531873822212219,0.985031008720398,9.764957845043135e-05,0.09739307314157486,0.09739307314157486,0.0,95232,1.3629937078803778,2253.8622021794486,,,,,,,,,,,,,,,1.1181640625,4.236328125,2.145209789276123,-2.6724729537963867,0.5272627472877502,1.962890625,5.92578125,2.0937271118164062,-2.831878185272217,0.7381513118743896,3.0,8.0,2.1113550662994385,-3.111488103866577,1.0001331567764282,1.0,0.7334156632423401,0.677734375,0.6278921365737915,0.3492838442325592,0.18822741508483887
40,grpo_train,-2.8402888774871826,0.25049155950546265,-2.6285111904144287,-3.0855045318603516,2.0829715728759766,0.7573170065879822,0.0007169237360358238,7.947286206899662e-08,0.9999946355819702,-0.3389264643192291,-0.3389192819595337,0.573662281036377,0.35468852519989014,1.0132434368133545,9.591562490711808e-05,0.09404035657644272,0.09404035657644272,0.0,125952,1.721641582902521,1784.343518713637,,,,,,,,,,,,,,,1.12890625,4.2578125,2.098775625228882,-2.6285111904144287,0.5297353863716125,1.9794921875,5.958984375,2.064767360687256,-2.806849956512451,0.7420824766159058,3.0,8.0,2.085371732711792,-3.0855045318603516,1.0001331567764282,1.0,0.7055671215057373,0.6803385615348816,0.6002439260482788,0.3557942807674408,0.19598956406116486
49,validation,,,,,,,,,,,,0.556287357211113,,,,,,,,,,2.170603358745575,8.763570022524354,0.355029296875,0.6143407672643661,0.67554931640625,5.40439453125,0.67554931640625,0.32445068359375,1.664640084374696,495003765.2152802,0.6705573542758554,1.4748233735561371,0.8139681279659271,1.7021971940994263,,,,,,,,,,,,,,,,1.0,0.7203677296638489,0.6907714605331421,0.5929147005081177,0.011425781063735485,0.14408060908317566
50,grpo_train,-2.9659478664398193,0.22382456064224243,-2.7468361854553223,-3.2194318771362305,2.2083330154418945,0.75761479139328,0.0012851038482040167,9.437402326284428e-08,0.9999948143959045,-0.34765249490737915,-0.34763965010643005,0.5682958364486694,0.34891512989997864,1.0286060571670532,9.373339121517747e-05,0.0974663496017456,0.0974663496017456,0.0,156672,1.4219698337838054,2160.3833829762266,,,,,,,,,,,,,,,1.150390625,4.30078125,2.2120883464813232,-2.7468361854553223,0.534747838973999,1.9619140625,5.923828125,2.193612813949585,-2.9315760135650635,0.7379632592201233,3.0,8.0,2.219298839569092,-3.2194318771362305,1.0001331567764282,1.0,0.7278550267219543,0.6868489384651184,0.6164648532867432,0.3505859375,0.19248966872692108
60,grpo_train,-2.8866355419158936,0.2115813046693802,-2.681230068206787,-3.1275463104248047,2.1275556087493896,0.7590799331665039,0.0017156761605292559,2.2848446690204582e-07,0.9999945759773254,-0.3443908393383026,-0.3443736732006073,0.5698895454406738,0.34969717264175415,1.0044302940368652,9.112678638360019e-05,0.0965532660484314,0.0965532660484314,0.0,187392,1.5242524580098689,2015.4141683398946,,,,,,,,,,,,,,,1.13671875,4.2734375,2.149644374847412,-2.681230068206787,0.5315859317779541,1.9921875,5.984375,2.10560941696167,-2.8511300086975098,0.7455207109451294,3.0,8.0,2.127413272857666,-3.1275463104248047,1.0001331567764282,1.0,0.7197754979133606,0.6878255009651184,0.6089876294136047,0.3551432192325592,0.19425447285175323
70,grpo_train,-2.921030044555664,0.22777678072452545,-2.7063112258911133,-3.1702961921691895,2.1657960414886475,0.75523442029953,0.002569217700511217,-8.44399110633276e-08,0.9999947547912598,-0.3378540873527527,-0.3378283977508545,0.565900444984436,0.3385902941226959,1.0021848678588867,8.812436892038808e-05,0.10093960911035538,0.10093960911035538,0.0,218112,1.404688165988773,2186.962255667321,,,,,,,,,,,,,,,1.123046875,4.24609375,2.1778838634490967,-2.7063112258911133,0.528427243232727,1.958984375,5.91796875,2.149340867996216,-2.886483669281006,0.73714280128479,3.0,8.0,2.170163154602051,-3.1702961921691895,1.0001331567764282,1.0,0.7397510409355164,0.6780598759651184,0.6140616536140442,0.3492838442325592,0.17644751071929932
80,grpo_train,-2.8482961654663086,0.20094464719295502,-2.6427855491638184,-3.0856075286865234,2.091712713241577,0.7565838694572449,0.002994798356667161,-2.632538382840721e-07,0.9999945163726807,-0.33409640192985535,-0.3340664505958557,0.5721192359924316,0.3519652187824249,1.015326738357544,8.475903393956435e-05,0.10225249081850052,0.10225249081850052,0.0,248832,1.3955602496862411,2201.266481107259,,,,,,,,,,,,,,,1.1201171875,4.240234375,2.115079641342163,-2.6427855491638184,0.5277059078216553,1.9794921875,5.958984375,2.0745835304260254,-2.816495895385742,0.7419123649597168,3.0,8.0,2.0854744911193848,-3.0856075286865234,1.0001331567764282,1.0,0.7211372256278992,0.6770833134651184,0.5930678248405457,0.3561197817325592,0.18496833741664886
90,grpo_train,-2.8701171875,0.23731862008571625,-2.65633487701416,-3.115206718444824,2.1153078079223633,0.7548093199729919,0.003399057313799858,-5.4637592228345966e-08,0.9999946355819702,-0.3378397226333618,-0.33780571818351746,0.5747153759002686,0.34734800457954407,0.9961484670639038,8.106765275542056e-05,0.10312974452972412,0.10312974452972412,0.0,279552,1.4224233753047884,2159.694541958543,,,,,,,,,,,,,,,1.1123046875,4.224609375,2.130445957183838,-2.65633487701416,0.5258890390396118,1.96484375,5.9296875,2.100403308868408,-2.838809013366699,0.738405704498291,3.0,8.0,2.1150739192962646,-3.115206718444824,1.0001331567764282,1.0,0.7152400016784668,0.6731770634651184,0.5662460923194885,0.3525390625,0.18174047768115997
99,validation,,,,,,,,,,,,0.5533212423324585,,,,,,,,,,2.1703998684883117,8.761786902835821,0.356201171875,0.6063411653041839,0.66597900390625,5.32783203125,0.66597900390625,0.33402099609375,1.5372869167476892,487826468.04789156,0.6608346213642732,1.558612459897995,0.8025212258100509,1.6639161109924316,,,,,,,,,,,,,,,,1.0,0.7278503775596619,0.657519519329071,0.5732079744338989,0.006396484561264515,0.1243061050772667
100,grpo_train,-2.8986384868621826,0.26470866799354553,-2.685734987258911,-3.1421756744384766,2.143385648727417,0.7552530169487,0.0046126702800393105,-4.470348358154297e-07,0.9999946355819702,-0.3277091979980469,-0.3276630640029907,0.5695722699165344,0.33977454900741577,0.9743399620056152,7.709066891268137e-05,0.10705528408288956,0.10705528408288956,0.0,310272,1.4069765410386026,2183.405273930374,,,,,,,,,,,,,,,1.111328125,4.22265625,2.1600534915924072,-2.685734987258911,0.5256815552711487,1.9697265625,5.939453125,2.1280601024627686,-2.868004322052002,0.739944338798523,3.0,8.0,2.142042398452759,-3.1421756744384766,1.0001331567764282,1.0,0.7356194853782654,0.6774088740348816,0.598472535610199,0.349609375,0.1754554957151413
110,grpo_train,-2.9064319133758545,0.21455252170562744,-2.701740264892578,-3.144251585006714,2.1531288623809814,0.753303050994873,0.0051951780915260315,-2.3345153010723152e-07,0.9999943971633911,-0.3352659344673157,-0.3352139890193939,0.5702003240585327,0.3429872989654541,0.9917249083518982,7.287165507856516e-05,0.10474183410406113,0.10474183410406113,0.0,340992,1.3826918751001358,2221.7531290386173,,,,,,,,,,,,,,,1.099609375,4.19921875,2.1787917613983154,-2.701740264892578,0.5229485630989075,1.958984375,5.91796875,2.1364760398864746,-2.8733034133911133,0.7368274331092834,3.0,8.0,2.144118547439575,-3.144251585006714,1.0001331567764282,1.0,0.7250095009803772,0.6669921875,0.5699067115783691,0.3525390625,0.17315007746219635
120,grpo_train,-2.8133504390716553,0.24561408162117004,-2.607743740081787,-3.0588674545288086,2.0585782527923584,0.7547720074653625,0.005814837291836739,-1.4901161193847656e-08,0.9999945759773254,-0.36091604828834534,-0.36085790395736694,0.5746672749519348,0.34583064913749695,0.994114339351654,6.845683565152394e-05,0.09781136363744736,0.09781136363744736,0.0,371712,1.4290200001560152,2149.7249861195855,,,,,,,,,,,,,,,1.11328125,4.2265625,2.081606864929199,-2.607743740081787,0.5261368155479431,1.962890625,5.92578125,2.035393238067627,-2.773439407348633,0.7380461692810059,3.0,8.0,2.05873441696167,-3.0588674545288086,1.0001331567764282,1.0,0.7199180722236633,0.673828125,0.546417772769928,0.3515625,0.1743689626455307
