token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.946835443037975,4.053164556962026
1, ,3089,3.2631919715118163,4.736808028488184
2,!,42,2.0476190476190474,5.9523809523809526
5,',128,2.390625,5.609375
6,",",389,2.2982005141388173,5.701799485861183
7,-,34,3.176470588235294,4.8235294117647065
8,.,159,2.389937106918239,5.610062893081761
10,:,216,2.814814814814815,5.185185185185185
11,;,70,2.4571428571428573,5.542857142857143
12,?,44,2.409090909090909,5.590909090909091
13,A,180,2.7333333333333334,5.266666666666667
14,B,60,3.033333333333333,4.966666666666667
15,C,57,3.543859649122807,4.4561403508771935
16,D,27,2.814814814814815,5.185185185185185
17,E,84,3.6904761904761907,4.309523809523809
18,F,17,2.4705882352941178,5.529411764705882
19,G,49,3.5918367346938775,4.408163265306122
20,H,60,3.1333333333333333,4.866666666666667
21,I,252,2.9682539682539684,5.031746031746032
22,J,1,4.0,4.0
23,K,30,2.6,5.4
24,L,63,2.857142857142857,5.142857142857142
25,M,43,3.395348837209302,4.604651162790698
26,N,97,3.5876288659793816,4.412371134020619
27,O,170,2.6941176470588237,5.305882352941176
28,P,82,3.3658536585365852,4.634146341463415
30,R,108,3.6296296296296298,4.37037037037037
31,S,91,3.2967032967032965,4.7032967032967035
32,T,160,3.5625,4.4375
33,U,44,3.6818181818181817,4.318181818181818
34,V,4,2.5,5.5
35,W,52,3.0384615384615383,4.961538461538462
37,Y,10,2.8,5.2
38,Z,10,4.0,4.0
39,a,1075,2.1711627906976743,5.828837209302326
40,b,211,2.2369668246445498,5.76303317535545
41,c,255,2.384313725490196,5.6156862745098035
42,d,552,1.9855072463768115,6.0144927536231885
43,e,1691,2.0413956238911886,5.958604376108811
44,f,284,2.1619718309859155,5.838028169014084
45,g,208,2.0865384615384617,5.913461538461538
46,h,979,2.226762002042901,5.773237997957099
47,i,801,2.262172284644195,5.737827715355805
48,j,7,2.2857142857142856,5.714285714285714
49,k,126,2.1587301587301586,5.841269841269842
50,l,558,2.186379928315412,5.813620071684587
51,m,410,2.1902439024390246,5.809756097560975
52,n,853,2.011723329425557,5.988276670574443
53,o,1166,2.207547169811321,5.7924528301886795
54,p,202,2.1386138613861387,5.861386138613861
55,q,8,3.5,4.5
56,r,833,2.1080432172869146,5.891956782713086
57,s,974,2.2217659137577,5.7782340862423
58,t,1249,2.2257806244995995,5.774219375500401
59,u,471,2.259023354564756,5.740976645435245
60,v,126,2.2857142857142856,5.714285714285714
61,w,355,2.416901408450704,5.583098591549296
62,x,3,2.0,6.0
63,y,363,2.1377410468319558,5.862258953168045
64,z,8,2.0,6.0
