step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,mor_aux_loss,mor_router_accuracy,mean_recursions_per_token,estimated_block_flops,estimated_flops_vs_full_dense,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability,recursion_1_utilization,recursion_1_soft_utilization,recursion_2_utilization,recursion_2_soft_utilization,recursion_3_utilization,recursion_3_soft_utilization
0,train,4.177351951599121,65.19299024669844,0.020751953125,,,,4.179419040679932,0.0,0.0,0.75,0.5828100442886353,0.748046875,5.984375,0.748046875,0.251953125,0.6931126713752747,0.01,3.436937093734741,0.0022245990112423897,3.436936378479004,4096,0.7730440841987729,5298.53352961795,,2.067239761352539,0.7398533225059509,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5005432367324829,0.5005432367324829,0.4989086091518402,0.4989086091518402,0.33178821206092834,0.33178821206092834,1.0,1.0,0.5005432367324829,0.6640625,0.4989086091518402,0.328125,0.33178821206092834
20,train,3.1310110092163086,22.897117040713056,0.248291015625,,,,3.1330618858337402,0.0,0.0,0.75,0.5849291682243347,0.748046875,5.984375,0.748046875,0.251953125,0.6930789947509766,0.01,2.5288777351379395,0.005098836962133646,2.528872489929199,86016,0.32079762499779463,12768.174328061683,,2.050845146179199,0.8808565139770508,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5055822730064392,0.5055822730064392,0.5017811059951782,0.5017811059951782,0.332353413105011,0.332353413105011,1.0,1.0,0.5055822730064392,0.6640625,0.5017811059951782,0.328125,0.332353413105011
40,train,2.7760515213012695,16.055500823624712,0.25439453125,,,,2.778092384338379,0.0,0.0,0.75,0.5855445861816406,0.748046875,5.984375,0.748046875,0.251953125,0.6930491924285889,0.01,1.5588876008987427,0.0038301129825413227,1.5588829517364502,167936,0.32184429187327623,12726.651065207549,,2.040789842605591,0.8975107073783875,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5088613033294678,0.5088613033294678,0.5019843578338623,0.5019843578338623,0.33133256435394287,0.33133256435394287,1.0,1.0,0.5088613033294678,0.6640625,0.5019843578338623,0.328125,0.33133256435394287
60,train,2.6562390327453613,14.242622206485995,0.256591796875,,,,2.6582794189453125,0.0,0.0,0.75,0.5846115350723267,0.748046875,5.984375,0.748046875,0.251953125,0.6930052042007446,0.01,2.106776714324951,0.0038951155729591846,2.1067731380462646,249856,0.3270040829665959,12525.837484476959,,2.040313482284546,0.8276472091674805,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5068186521530151,0.5068186521530151,0.5007892847061157,0.5007892847061157,0.33083808422088623,0.33083808422088623,1.0,1.0,0.5068186521530151,0.6640625,0.5007892847061157,0.328125,0.33083808422088623
80,train,2.6175386905670166,13.701957290744973,0.25439453125,,,,2.619574785232544,0.0,0.0,0.75,0.584490954875946,0.748046875,5.984375,0.748046875,0.251953125,0.6929648518562317,0.01,1.8099656105041504,0.0016920827329158783,1.809964895248413,331776,0.3232328752055764,12671.978360477535,,2.036036968231201,0.8242369294166565,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5074751377105713,0.5074751377105713,0.5004435777664185,0.5004435777664185,0.33004534244537354,0.33004534244537354,1.0,1.0,0.5074751377105713,0.6640625,0.5004435777664185,0.328125,0.33004534244537354
100,train,2.526583433151245,12.510689428488611,0.25341796875,,,,2.528613328933716,0.0,0.0,0.75,0.5845882892608643,0.748046875,5.984375,0.748046875,0.251953125,0.6928967833518982,0.01,1.8159470558166504,0.003767085960134864,1.8159431219100952,413696,0.3177357497625053,12891.215429996768,,2.0298616886138916,0.8248736262321472,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5082215070724487,0.5082215070724487,0.5009570717811584,0.5009570717811584,0.32917457818984985,0.32917457818984985,1.0,1.0,0.5082215070724487,0.6640625,0.5009570717811584,0.328125,0.32917457818984985
120,train,2.516021728515625,12.379250553074101,0.266357421875,,,,2.5180447101593018,0.0,0.0,0.75,0.5844004154205322,0.748046875,5.984375,0.748046875,0.251953125,0.6927916407585144,0.01,1.8876991271972656,0.0036687087267637253,1.887695550918579,495616,0.32780137471854687,12495.371636305252,,2.0229060649871826,0.8194987177848816,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.508364200592041,0.508364200592041,0.5009110569953918,0.5009110569953918,0.32832643389701843,0.32832643389701843,1.0,1.0,0.508364200592041,0.6640625,0.5009110569953918,0.328125,0.32832643389701843
140,train,2.4930155277252197,12.097702127201057,0.280517578125,,,,2.4950318336486816,0.0,0.0,0.75,0.5845940113067627,0.748046875,5.984375,0.748046875,0.251953125,0.6926801204681396,0.01,1.815988302230835,0.003236152231693268,1.8159854412078857,577536,0.32582574989646673,12571.136570088554,,2.0161972045898438,0.8153023719787598,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5095754861831665,0.5095754861831665,0.50115567445755,0.50115567445755,0.3276451528072357,0.3276451528072357,1.0,1.0,0.5095754861831665,0.6640625,0.50115567445755,0.328125,0.3276451528072357
160,train,2.5133707523345947,12.34647691497941,0.258056640625,,,,2.515380382537842,0.0,0.0,0.75,0.5844900012016296,0.748046875,5.984375,0.748046875,0.251953125,0.6925216317176819,0.01,1.424889087677002,0.002903849119320512,1.4248862266540527,659456,0.32180491695180535,12728.20825361544,,2.0095956325531006,0.8219103813171387,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5095551013946533,0.5095551013946533,0.4996393918991089,0.4996393918991089,0.328765332698822,0.328765332698822,1.0,1.0,0.5095551013946533,0.6640625,0.4996393918991089,0.328125,0.328765332698822
180,train,2.4831318855285645,11.978721716440525,0.2646484375,,,,2.485133171081543,0.0,0.0,0.75,0.5847269296646118,0.748046875,5.984375,0.748046875,0.251953125,0.6923033595085144,0.01,1.26333749294281,0.003016675589606166,1.2633339166641235,741376,0.3215303337201476,12739.07799804998,,2.0013861656188965,0.8152545094490051,1.9921875,544852224.0,0.7380846196954901,1.0,1.0,1.0,0.6640625,0.6640625,0.328125,0.328125,1.0,1.0,0.5103344321250916,0.5103344321250916,0.5006622076034546,0.5006622076034546,0.32791078090667725,0.32791078090667725,1.0,1.0,0.5103344321250916,0.6640625,0.5006622076034546,0.328125,0.32791078090667725
