token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.7620253164556963,4.237974683544303
1, ,3089,4.226286824214957,3.7737131757850433
2,!,42,3.4285714285714284,4.571428571428571
5,',128,2.6171875,5.3828125
6,",",389,4.408740359897172,3.5912596401028276
7,-,34,3.5294117647058822,4.470588235294118
8,.,159,3.9622641509433962,4.037735849056604
10,:,216,3.9305555555555554,4.069444444444445
11,;,70,3.742857142857143,4.257142857142857
12,?,44,3.6136363636363638,4.386363636363637
13,A,180,2.783333333333333,5.216666666666667
14,B,60,2.183333333333333,5.816666666666666
15,C,57,3.263157894736842,4.7368421052631575
16,D,27,3.2962962962962963,4.703703703703704
17,E,84,2.0833333333333335,5.916666666666666
18,F,17,3.1176470588235294,4.882352941176471
19,G,49,2.795918367346939,5.204081632653061
20,H,60,2.5166666666666666,5.483333333333333
21,I,252,4.0476190476190474,3.9523809523809526
22,J,1,3.0,5.0
23,K,30,2.0,6.0
24,L,63,2.5396825396825395,5.4603174603174605
25,M,43,2.6744186046511627,5.325581395348838
26,N,97,3.948453608247423,4.051546391752577
27,O,170,2.5058823529411764,5.4941176470588236
28,P,82,3.1097560975609757,4.890243902439025
30,R,108,2.2777777777777777,5.722222222222222
31,S,91,2.2967032967032965,5.7032967032967035
32,T,160,3.49375,4.50625
33,U,44,3.3181818181818183,4.681818181818182
34,V,4,2.5,5.5
35,W,52,2.9615384615384617,5.038461538461538
37,Y,10,3.7,4.3
38,Z,10,2.9,5.1
39,a,1075,4.0455813953488375,3.9544186046511625
40,b,211,2.109004739336493,5.890995260663507
41,c,255,3.003921568627451,4.996078431372549
42,d,552,3.7028985507246377,4.297101449275362
43,e,1691,3.790656416321703,4.209343583678297
44,f,284,3.3450704225352115,4.654929577464788
45,g,208,3.8990384615384617,4.100961538461538
46,h,979,3.192032686414709,4.807967313585291
47,i,801,3.0299625468164795,4.9700374531835205
48,j,7,1.7142857142857142,6.285714285714286
49,k,126,3.492063492063492,4.507936507936508
50,l,558,3.4551971326164876,4.544802867383512
51,m,410,2.9804878048780488,5.019512195121951
52,n,853,2.8780773739742087,5.121922626025791
53,o,1166,4.542881646655232,3.457118353344768
54,p,202,2.5693069306930694,5.430693069306931
55,q,8,3.0,5.0
56,r,833,2.9183673469387754,5.081632653061225
57,s,974,3.5318275154004106,4.46817248459959
58,t,1249,4.117694155324259,3.8823058446757406
59,u,471,3.246284501061571,4.753715498938429
60,v,126,2.3174603174603177,5.682539682539682
61,w,355,3.630985915492958,4.369014084507042
62,x,3,2.0,6.0
63,y,363,3.8071625344352618,4.192837465564738
64,z,8,2.625,5.375
