step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec,estimated_block_flops,estimated_flops_vs_dense,estimated_flops_vs_full_dense,budget_3_depth,budget_3_ce,budget_3_reward,budget_3_flops_vs_dense,budget_3_flops_vs_full_dense,budget_4_depth,budget_4_ce,budget_4_reward,budget_4_flops_vs_dense,budget_4_flops_vs_full_dense,budget_5_depth,budget_5_ce,budget_5_reward,budget_5_flops_vs_dense,budget_5_flops_vs_full_dense,budget_8_depth,budget_8_ce,budget_8_reward,budget_8_flops_vs_dense,budget_8_flops_vs_full_dense
0,grpo_train,-3.189589023590088,0.15458962321281433,-3.0410726070404053,-3.3333044052124023,2.563581943511963,0.626007080078125,1.2423922726156889e-06,3.46451997756958e-07,0.9999878406524658,0.23306994140148163,0.23306995630264282,0.16016751527786255,0.62091064453125,1.0024912357330322,9.999753262144806e-05,0.053867872804403305,0.053867872804403305,0.0,4096,1.2160290000028908,3368.340722129376,,,,,,,,,,,,,3.11328125,2.9384779930114746,-3.3276381492614746,0.8908025568181818,0.4454012784090909,4.0068359375,2.680147409439087,-3.181001901626587,1.0938831676136365,0.5469415838068182,4.912109375,2.5065319538116455,-3.1205453872680664,1.2996271306818181,0.6498135653409091,8.0,2.1291699409484863,-3.1291699409484863,2.0014204545454546,1.0007102272727273
10,grpo_train,-3.2225277423858643,0.18175792694091797,-3.0720577239990234,-3.4240992069244385,2.5967648029327393,0.625762939453125,0.0004306445480324328,3.096647560596466e-08,0.9999879598617554,0.2614385187625885,0.2614428400993347,0.1632249355316162,0.62335205078125,1.0002267360687256,9.970177445201784e-05,0.049485884606838226,0.049485884606838226,0.0,45056,0.8643252500332892,4738.956775637695,,,,,,,,,,,,,3.1083984375,2.985957145690918,-3.374507188796997,0.8896928267045454,0.4448464133522727,4.001953125,2.7142553329467773,-3.2144994735717773,1.0927734375,0.54638671875,4.9140625,2.547581434249878,-3.161839246749878,1.3000710227272727,0.6500355113636364,8.0,2.139265537261963,-3.139265537261963,2.0014204545454546,1.0007102272727273
20,grpo_train,-3.2437996864318848,0.16682831943035126,-3.1102492809295654,-3.403454065322876,2.6177620887756348,0.62603759765625,0.0017075351206585765,-4.470348358154297e-08,0.9999875426292419,0.3518174886703491,0.35183456540107727,0.17264896631240845,0.62109375,0.9959490895271301,9.891625428724362e-05,0.05478029325604439,0.05478029325604439,0.0,86016,0.877983707934618,4665.234631329881,,,,,,,,,,,,,3.1123046875,3.0106887817382812,-3.3997271060943604,0.8905806107954546,0.4452903053977273,4.0068359375,2.6745190620422363,-3.1753735542297363,1.0938831676136365,0.5469415838068182,4.9140625,2.6299259662628174,-3.2441837787628174,1.3000710227272727,0.6500355113636364,8.0,2.155914783477783,-3.155914783477783,2.0014204545454546,1.0007102272727273
30,grpo_train,-3.262651205062866,0.20115353167057037,-3.1197750568389893,-3.4099929332733154,2.6365528106689453,0.6260986328125,0.0037209708243608475,-3.818422555923462e-08,0.9999890923500061,0.29358458518981934,0.29362180829048157,0.17367787659168243,0.6205037236213684,0.9888656735420227,9.764957845043135e-05,0.05525486171245575,0.05525486171245575,0.0,126976,0.9035619171336293,4533.17024802655,,,,,,,,,,,,,3.109375,2.9848246574401855,-3.3734965324401855,0.8899147727272727,0.44495738636363635,4.021484375,2.780456066131592,-3.283141613006592,1.0972123579545454,0.5486061789772727,4.904296875,2.5804810523986816,-3.1935181617736816,1.2978515625,0.64892578125,8.0,2.2004482746124268,-3.2004482746124268,2.0014204545454546,1.0007102272727273
40,grpo_train,-3.22554874420166,0.16356344521045685,-3.0998001098632812,-3.3772106170654297,2.599114418029785,0.626434326171875,0.007003061473369598,3.5320408642292023e-07,0.999989926815033,0.15931406617164612,0.1593841016292572,0.1830378770828247,0.60748291015625,1.006673812866211,9.591562490711808e-05,0.054318055510520935,0.054318055510520935,0.0,167936,0.9029594580642879,4536.194801902588,,,,,,,,,,,,,3.1259765625,2.9840567111968994,-3.3748037815093994,0.8936878551136364,0.4468439275568182,4.0166015625,2.700489044189453,-3.202564239501953,1.0961026278409092,0.5480513139204546,4.9033203125,2.501293659210205,-3.114208698272705,1.2976296164772727,0.6488148082386364,8.0,2.210618257522583,-3.210618257522583,2.0014204545454546,1.0007102272727273
49,validation,,,,,,,,,,,,0.17322675362229348,,,,,,,,,,2.1407192945480347,8.505553427300486,0.370947265625,0.5606824457645416,0.55460205078125,4.43681640625,0.55460205078125,0.44539794921875,4.128731042146683,439820288.0,1.1916060014204546,0.5958030007102273,,,,,,,,,,,,,,,,,,,,
50,grpo_train,-3.246213436126709,0.19501593708992004,-3.0454630851745605,-3.454775810241699,2.619199275970459,0.62701416015625,0.009928442537784576,2.2927997633814812e-07,0.9999925494194031,0.3278191387653351,0.3279184103012085,0.1850622147321701,0.6134237051010132,0.9937061071395874,9.373339121517747e-05,0.052135221660137177,0.052135221660137177,0.0,208896,1.1285789171233773,3629.3430063714554,,,,,,,,,,,,,3.1396484375,3.0289249420166016,-3.4213809967041016,0.8967950994318182,0.4483975497159091,4.009765625,2.806525230407715,-3.307745933532715,1.0945490056818181,0.5472745028409091,4.9150390625,2.5174689292907715,-3.1318488121032715,1.30029296875,0.650146484375,8.0,2.123878240585327,-3.123878240585327,2.0014204545454546,1.0007102272727273
60,grpo_train,-3.159971237182617,0.16420581936836243,-3.0478675365448,-3.2853565216064453,2.532804489135742,0.627166748046875,0.014411681331694126,-4.12575900554657e-07,0.9999864101409912,0.21187153458595276,0.21201565861701965,0.18914422392845154,0.6050821542739868,0.9980064630508423,9.112678638360019e-05,0.06324945390224457,0.06324945390224457,0.0,249856,0.9419777910225093,4348.29784633651,,,,,,,,,,,,,3.1298828125,2.8919193744659424,-3.2831547260284424,0.8945756392045454,0.4472878196022727,4.0166015625,2.631204843521118,-3.133280038833618,1.0961026278409092,0.5480513139204546,4.9228515625,2.4786691665649414,-3.0940256118774414,1.3020685369318181,0.6510342684659091,8.0,2.1294240951538086,-3.1294240951538086,2.0014204545454546,1.0007102272727273
70,grpo_train,-3.240176200866699,0.1823403388261795,-3.0986995697021484,-3.399240493774414,2.612154960632324,0.628021240234375,0.018577927723526955,4.796311259269714e-07,0.9999902248382568,0.2650913596153259,0.2652771472930908,0.19561469554901123,0.60284423828125,0.9952684640884399,8.812436892038808e-05,0.05941299349069595,0.05941299349069595,0.0,290816,1.4751875828951597,2776.5960393737255,,,,,,,,,,,,,3.1298828125,2.994410991668701,-3.385646343231201,0.8945756392045454,0.4472878196022727,4.0205078125,2.723958969116211,-3.226522445678711,1.0969904119318181,0.5484952059659091,4.9462890625,2.5257880687713623,-3.1440742015838623,1.3073952414772727,0.6536976207386364,8.0,2.2044618129730225,-3.2044620513916016,2.0014204545454546,1.0007102272727273
80,grpo_train,-3.315455675125122,0.17422893643379211,-3.188387393951416,-3.4740874767303467,2.689234733581543,0.626220703125,0.02328810840845108,-1.3515818864107132e-07,0.9999885559082031,-0.00557323545217514,-0.0053403545171022415,0.20280471444129944,0.5954183340072632,0.9957466125488281,8.475903393956435e-05,0.04830460250377655,0.04830460250377655,0.0,331776,0.8815952921286225,4646.122814596886,,,,,,,,,,,,,3.111328125,3.0434703826904297,-3.4323863983154297,0.8903586647727273,0.44517933238636365,4.0048828125,2.760333776473999,-3.260944128036499,1.0934392755681819,0.5467196377840909,4.9228515625,2.623318910598755,-3.238675355911255,1.3020685369318181,0.6510342684659091,8.0,2.3298163414001465,-3.3298163414001465,2.0014204545454546,1.0007102272727273
