step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
0,train,4.174880027770996,65.03203715453019,0.01171875,,,,4.174880027770996,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,3.6748621463775635,0.0,3.6748621463775635,4096,0.79581741662696,5146.909221163732,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.092288017272949,22.027419478933744,0.174560546875,,,,3.092288017272949,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.2471907138824463,0.0,1.2471907138824463,86016,0.06122700031846762,66898.59014315523,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.653595209121704,14.205016958160051,0.239501953125,,,,2.653595209121704,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.1472266912460327,0.0,1.1472266912460327,167936,0.062188874930143356,65863.87042057006,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.645068645477295,14.084411881116875,0.25341796875,,,,2.645068645477295,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.2235921621322632,0.0,1.2235921621322632,249856,0.05936866719275713,68992.6217595753,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.6192126274108887,13.724912709487498,0.237548828125,,,,2.6192126274108887,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.0426450967788696,0.0,1.0426450967788696,331776,0.060096458066254854,68157.0949736216,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.568983793258667,13.05255360615453,0.259033203125,,,,2.568983793258667,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7410157322883606,0.0,0.7410157322883606,413696,0.06204370781779289,66017.9757797349,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.6025705337524414,13.498391547985571,0.262939453125,,,,2.6025705337524414,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.1666550636291504,0.0,1.1666550636291504,495616,0.05912599992007017,69275.78401273892,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.523493766784668,12.47209522444761,0.2451171875,,,,2.523493766784668,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.829009473323822,0.0,0.829009473323822,577536,0.05922866705805063,69155.70117398501,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.56499981880188,13.000656013975995,0.237060546875,,,,2.56499981880188,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.9042976498603821,0.0,0.9042976498603821,659456,0.06289333384484053,65126.13896577557,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.5518178939819336,12.830406914449489,0.233154296875,,,,2.5518178939819336,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.8894439339637756,0.0,0.8894439339637756,741376,0.06113512488082051,66999.12706459538,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
