token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",8278,5.58987678183136,2.41012321816864
1, ,30585,3.7605689063266308,4.239431093673369
2,!,474,6.447257383966245,1.552742616033755
5,',1145,3.2078602620087335,4.792139737991267
6,",",3940,6.1713197969543145,1.8286802030456855
7,-,373,4.638069705093834,3.3619302949061662
8,.,1760,6.113636363636363,1.8863636363636367
10,:,2314,5.054883318928263,2.9451166810717373
11,;,687,5.004366812227074,2.995633187772926
12,?,537,4.571694599627561,3.428305400372439
13,A,2157,3.384330088085304,4.615669911914696
14,B,611,4.276595744680851,3.7234042553191493
15,C,627,4.631578947368421,3.3684210526315788
16,D,249,5.116465863453815,2.883534136546185
17,E,842,4.98812351543943,3.0118764845605703
18,F,177,4.80225988700565,3.1977401129943503
19,G,424,4.790094339622642,3.209905660377358
20,H,746,4.571045576407506,3.4289544235924936
21,I,2688,4.887648809523809,3.1123511904761907
22,J,12,4.416666666666667,3.583333333333333
23,K,314,4.82484076433121,3.17515923566879
24,L,503,4.6779324055666,3.3220675944334
25,M,436,4.272935779816514,3.727064220183486
26,N,1264,5.253164556962025,2.746835443037975
27,O,1711,4.966686148451198,3.033313851548802
28,P,835,4.299401197604791,3.700598802395209
29,Q,2,4.5,3.5
30,R,1204,4.8172757475083055,3.1827242524916945
31,S,900,4.864444444444445,3.1355555555555554
32,T,1908,5.852201257861635,2.147798742138365
33,U,490,4.938775510204081,3.0612244897959187
34,V,97,4.041237113402062,3.9587628865979383
35,W,600,4.226666666666667,3.7733333333333334
37,Y,114,4.657894736842105,3.3421052631578947
38,Z,69,4.811594202898551,3.1884057971014492
39,a,10588,2.670759350207782,5.329240649792218
40,b,2035,4.003439803439804,3.9965601965601962
41,c,2590,3.9598455598455597,4.04015444015444
42,d,5420,4.074354243542436,3.9256457564575644
43,e,16639,3.511809603942545,4.488190396057455
44,f,2719,4.647296800294225,3.3527031997057746
45,g,2351,3.8179498085920884,4.182050191407912
46,h,9196,4.212701174423662,3.787298825576338
47,i,8267,1.4947381153985726,6.505261884601428
48,j,80,4.05,3.95
49,k,1207,4.175642087821044,3.8243579121789564
50,l,5743,4.524290440536305,3.475709559463695
51,m,4138,4.538666022232963,3.461333977767037
52,n,8730,5.18213058419244,2.81786941580756
53,o,11476,3.5495817357964445,4.450418264203556
54,p,1800,3.4277777777777776,4.572222222222223
55,q,69,3.7971014492753623,4.202898550724638
56,r,8368,3.2403202676864247,4.759679732313575
57,s,8986,3.6293122635210326,4.370687736478967
58,t,12235,4.335267674703719,3.6647323252962813
59,u,4583,3.1505564041021166,4.849443595897883
60,v,1253,4.719872306464485,3.2801276935355146
61,w,3427,4.962941348117887,3.0370586518821128
62,x,86,4.674418604651163,3.325581395348837
63,y,3679,4.024463169339494,3.9755368306605057
64,z,62,3.7096774193548385,4.290322580645162
