step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.19688606262207,66.47899696230476,0.019775390625,,,,4.1975226402282715,0.006365776062011719,0.1,0.5,0.4968467056751251,0.49432373046875,3.95458984375,0.49432373046875,0.50567626953125,0.6796343326568604,0.1,2.1057255268096924,0.057330820709466934,2.104944944381714,4096,0.6030484582297504,6792.157320199132,,0.5087890625,0.43798828125,0.524169921875,0.487060546875,0.513671875,0.502685546875,0.464599609375,0.515625,0.5084277391433716,0.44316962361335754,0.524757981300354,0.4880068302154541,0.5233958959579468,0.5041553378105164,0.46627435088157654,0.5165858864784241
20,train,3.425318717956543,30.73243827067595,0.148681640625,,,,3.4468533992767334,0.21534651517868042,0.1,0.5,0.6498122215270996,0.652130126953125,5.217041015625,0.652130126953125,0.347869873046875,0.48748841881752014,0.1,1641.1727294921875,976.3270263671875,1319.178955078125,86016,0.12432183278724551,32946.74722990586,,0.636474609375,0.6669921875,0.67041015625,0.6689453125,0.7666015625,0.63330078125,0.647216796875,0.527099609375,0.6298753023147583,0.6685980558395386,0.6587148904800415,0.6749080419540405,0.7664828300476074,0.62926185131073,0.6435703039169312,0.527086079120636
40,train,3.494277000427246,32.9264735188427,0.119140625,,,,3.507006883621216,0.12729865312576294,0.1,0.5,0.5281399488449097,0.527069091796875,4.216552734375,0.527069091796875,0.472930908203125,0.5053417086601257,0.1,14829.3076171875,5137.29736328125,13911.021484375,167936,0.12605362525209785,32494.10710567273,,0.6181640625,0.643798828125,0.410400390625,0.607177734375,0.540771484375,0.57421875,0.5693359375,0.252685546875,0.6158767938613892,0.6471959948539734,0.41433775424957275,0.5971847772598267,0.5499241948127747,0.5709039568901062,0.5714080929756165,0.25828802585601807
60,train,3.262986421585083,26.127448322431267,0.168212890625,,,,3.2682838439941406,0.052973389625549316,0.1,0.5,0.5521928071975708,0.55096435546875,4.40771484375,0.55096435546875,0.44903564453125,0.5508592128753662,0.1,12.282426834106445,5.88837194442749,10.778919219970703,249856,0.12457062490284443,32880.94607532528,,0.659912109375,0.568359375,0.554443359375,0.63330078125,0.48974609375,0.4833984375,0.5361328125,0.482421875,0.6659023761749268,0.569900631904602,0.5439087152481079,0.6436192989349365,0.4902973771095276,0.48211750388145447,0.5324398875236511,0.4893568456172943
80,train,3.73323392868042,41.814113608624375,0.124267578125,,,,3.7696542739868164,0.36420440673828125,0.1,0.5,0.3667747676372528,0.36578369140625,2.92626953125,0.36578369140625,0.63421630859375,0.38934949040412903,0.1,2824.05517578125,1849.377685546875,2134.265380859375,331776,0.12282287469133735,33348.83677241345,,0.569091796875,0.265625,0.68701171875,0.387451171875,0.2587890625,0.2568359375,0.163330078125,0.338134765625,0.5811995267868042,0.26884883642196655,0.6912588477134705,0.3769746422767639,0.2600198984146118,0.2595047950744629,0.16234178841114044,0.33404961228370667
100,train,3.3318185806274414,27.989196057577054,0.117431640625,,,,3.3554282188415527,0.23609554767608643,0.1,0.5,0.4193306863307953,0.41845703125,3.34765625,0.41845703125,0.58154296875,0.3664436340332031,0.1,64.142822265625,33.655025482177734,54.60440444946289,413696,0.12403012486174703,33024.23507648403,,0.525634765625,0.285888671875,0.650146484375,0.350341796875,0.295166015625,0.25146484375,0.637451171875,0.3515625,0.5253210067749023,0.2887078523635864,0.6516754031181335,0.3481619954109192,0.295226514339447,0.25058943033218384,0.636495053768158,0.358468234539032
120,train,2.9685072898864746,19.462845515503652,0.20166015625,,,,2.974436044692993,0.059286653995513916,0.1,0.5,0.508806586265564,0.513275146484375,4.106201171875,0.513275146484375,0.486724853515625,0.4591331481933594,0.1,13.022137641906738,7.614098072052002,10.564166069030762,495616,0.12817270774394274,31956.881243258053,,0.49560546875,0.311767578125,0.5009765625,0.621337890625,0.574462890625,0.5419921875,0.530517578125,0.529541015625,0.5031494498252869,0.3089650571346283,0.48438116908073425,0.6116842031478882,0.5739361047744751,0.5265644788742065,0.536548376083374,0.5252240896224976
140,train,2.8653576374053955,17.55533052487719,0.20947265625,,,,2.8709795475006104,0.056217968463897705,0.1,0.5,0.5566219687461853,0.559112548828125,4.472900390625,0.559112548828125,0.440887451171875,0.42897093296051025,0.1,10.26207447052002,4.087465286254883,9.4129056930542,577536,0.12559029180556536,32613.9858512415,,0.491943359375,0.615234375,0.453857421875,0.609619140625,0.56201171875,0.588623046875,0.62841796875,0.523193359375,0.4906129837036133,0.614947497844696,0.44837212562561035,0.6103807687759399,0.562324047088623,0.5791077613830566,0.631662905216217,0.5155678987503052
160,train,2.8545937538146973,17.36738034232823,0.218505859375,,,,2.8564293384552,0.0183563232421875,0.1,0.5,0.48533499240875244,0.48638916015625,3.89111328125,0.48638916015625,0.51361083984375,0.41353532671928406,0.1,22.177772521972656,9.138053894042969,20.207660675048828,659456,0.12967366678640246,31586.983706930274,,0.3935546875,0.53662109375,0.558349609375,0.484375,0.475341796875,0.4775390625,0.469970703125,0.495361328125,0.3946685791015625,0.5365408658981323,0.5531005859375,0.4809579849243164,0.4731299579143524,0.4670816957950592,0.47200411558151245,0.505196213722229
180,train,2.8216495513916016,16.80454778713972,0.221923828125,,,,2.826303482055664,0.046540141105651855,0.1,0.5,0.4769987463951111,0.47637939453125,3.81103515625,0.47637939453125,0.52362060546875,0.41062965989112854,0.1,10.619434356689453,3.641077995300293,9.975717544555664,741376,0.12097062496468425,33859.45969276237,,0.287353515625,0.522705078125,0.50341796875,0.519775390625,0.487548828125,0.495849609375,0.48681640625,0.507568359375,0.28727251291275024,0.5251076221466064,0.5080409049987793,0.5148745775222778,0.485103964805603,0.4973696172237396,0.4900187849998474,0.508202075958252
