step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
0,train,4.174880027770996,65.03203715453019,0.01171875,,,,4.174880027770996,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,3.6748621463775635,0.0,3.6748621463775635,4096,0.47330012498423457,8654.12828728164,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.0470387935638428,21.05291001494232,0.203369140625,,,,3.0470387935638428,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,2.26115083694458,0.0,2.26115083694458,86016,0.056279624812304974,72779.4475116055,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.6562390327453613,14.242622206485995,0.2265625,,,,2.6562390327453613,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.1969480514526367,0.0,1.1969480514526367,167936,0.05457899998873472,75047.1793335427,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.6199069023132324,13.734444880509217,0.259521484375,,,,2.6199069023132324,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.1329621076583862,0.0,1.1329621076583862,249856,0.05879545817151666,69665.24502711162,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.5773684978485107,13.162455515937706,0.234619140625,,,,2.5773684978485107,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.9484760761260986,0.0,0.9484760761260986,331776,0.05664070788770914,72315.48038065428,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.541297674179077,12.696135733089847,0.267822265625,,,,2.541297674179077,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.535491943359375,0.0,0.535491943359375,413696,0.05744966585189104,71297.19449647894,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.603391170501709,13.509473370599377,0.256591796875,,,,2.603391170501709,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,1.0813263654708862,0.0,1.0813263654708862,495616,0.056012749671936035,73126.20830061144,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.491757869720459,12.082496918761803,0.2783203125,,,,2.491757869720459,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7347714900970459,0.0,0.7347714900970459,577536,0.05523975007236004,74149.50275181439,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.538329839706421,12.658511562563072,0.25390625,,,,2.538329839706421,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.7719900012016296,0.0,0.7719900012016296,659456,0.055387457832694054,73951.76020485665,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.5392189025878906,12.669770779662365,0.2548828125,,,,2.5392189025878906,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.1,0.8495388031005859,0.0,0.8495388031005859,741376,0.056117582600563765,72989.60165755342,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,validation,,,,2.604587721824646,13.525647823684972,0.25589599609375,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2653925409540534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
