token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",8278,5.622130949504712,2.3778690504952884
1, ,30585,3.037927088442047,4.962072911557954
2,!,474,3.2531645569620253,4.746835443037975
5,',1145,3.3633187772925766,4.6366812227074234
6,",",3940,3.662690355329949,4.337309644670051
7,-,373,3.1983914209115283,4.801608579088471
8,.,1760,3.713636363636364,4.286363636363636
10,:,2314,3.638720829732066,4.3612791702679345
11,;,687,4.5196506550218345,3.4803493449781655
12,?,537,3.7914338919925514,4.208566108007449
13,A,2157,4.456652758460825,3.543347241539175
14,B,611,4.368248772504091,3.6317512274959087
15,C,627,3.2472089314194577,4.752791068580542
16,D,249,4.333333333333333,3.666666666666667
17,E,842,5.102137767220903,2.8978622327790973
18,F,177,3.4237288135593222,4.576271186440678
19,G,424,4.040094339622642,3.959905660377358
20,H,746,3.6327077747989276,4.367292225201073
21,I,2688,4.353794642857143,3.6462053571428568
22,J,12,4.75,3.25
23,K,314,4.630573248407643,3.369426751592357
24,L,503,4.5884691848906565,3.4115308151093435
25,M,436,4.192660550458716,3.807339449541284
26,N,1264,4.326740506329114,3.6732594936708862
27,O,1711,3.9912331969608417,4.008766803039158
28,P,835,3.9137724550898203,4.08622754491018
29,Q,2,4.5,3.5
30,R,1204,4.00249169435216,3.99750830564784
31,S,900,3.858888888888889,4.141111111111111
32,T,1908,3.2279874213836477,4.772012578616352
33,U,490,5.261224489795918,2.738775510204082
34,V,97,3.845360824742268,4.154639175257731
35,W,600,3.3833333333333333,4.616666666666667
37,Y,114,4.078947368421052,3.921052631578948
38,Z,69,5.086956521739131,2.913043478260869
39,a,10588,3.379391764261428,4.6206082357385725
40,b,2035,2.91007371007371,5.089926289926289
41,c,2590,3.730888030888031,4.269111969111969
42,d,5420,3.5625461254612545,4.437453874538745
43,e,16639,3.62065027946391,4.37934972053609
44,f,2719,3.1471129091577787,4.852887090842222
45,g,2351,3.8285835814547,4.1714164185453
46,h,9196,2.824380165289256,5.175619834710744
47,i,8267,2.2551106810209265,5.744889318979073
48,j,80,2.825,5.175
49,k,1207,3.235294117647059,4.764705882352941
50,l,5743,2.5209820651227584,5.479017934877241
51,m,4138,1.6616723054615756,6.338327694538425
52,n,8730,4.290607101947308,3.709392898052692
53,o,11476,3.4511153712094806,4.548884628790519
54,p,1800,2.841666666666667,5.158333333333333
55,q,69,2.652173913043478,5.3478260869565215
56,r,8368,2.4116873804971317,5.588312619502869
57,s,8986,3.38738036946361,4.61261963053639
58,t,12235,3.2956272987331428,4.704372701266857
59,u,4583,2.4935631682304167,5.506436831769584
60,v,1253,2.3320031923383877,5.667996807661613
61,w,3427,2.422818791946309,5.577181208053691
62,x,86,3.511627906976744,4.488372093023256
63,y,3679,3.425930959499864,4.574069040500136
64,z,62,3.7419354838709675,4.258064516129032
