step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
0,train,4.174880027770996,65.03203715453019,0.01171875,,,,4.174880027770996,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,3.6748621463775635,0.0,3.6748621463775635,4096,0.5186219159513712,7897.85366568285,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,train,3.1502246856689453,23.34130844931261,0.234619140625,,,,3.1502246856689453,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.643668293952942,0.0,1.643668293952942,86016,0.056394082959741354,72631.73342004791,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,train,2.783264636993408,16.171729690754187,0.26171875,,,,2.783264636993408,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.8104016780853271,0.0,1.8104016780853271,167936,0.055703042075037956,73532.7882897715,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,train,2.6705875396728516,14.448455740425983,0.24755859375,,,,2.6705875396728516,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.2620551586151123,0.0,1.2620551586151123,249856,0.05604725005105138,73081.19481810623,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,train,2.610332489013672,13.603573138599197,0.2568359375,,,,2.610332489013672,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.808189034461975,0.0,1.808189034461975,331776,0.05656358366832137,72414.08224800967,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,train,2.544227123260498,12.733382946521385,0.26513671875,,,,2.544227123260498,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.1280782222747803,0.0,1.1280782222747803,413696,0.05646295798942447,72543.1352846796,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,train,2.5477051734924316,12.777747398205127,0.264404296875,,,,2.5477051734924316,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9197421073913574,0.0,1.9197421073913574,495616,0.056557875126600266,72421.39120027817,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,train,2.48337459564209,11.98162942619922,0.28271484375,,,,2.48337459564209,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7002904415130615,0.0,1.7002904415130615,577536,0.0563118327409029,72737.8208208239,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,train,2.513211727142334,12.344513670221088,0.267333984375,,,,2.513211727142334,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.031122922897339,0.0,2.031122922897339,659456,0.05696441698819399,71904.53649071675,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,train,2.479569673538208,11.936126881271099,0.26953125,,,,2.479569673538208,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.5548486709594727,0.0,1.5548486709594727,741376,0.056859375443309546,72037.37234299789,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,validation,,,,2.5224773287773132,12.45942455339684,0.27313232421875,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2681055418215692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,train,2.467747449874878,11.795846168445188,0.28125,,,,2.467747449874878,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.6623109579086304,0.0,1.6623109579086304,823296,0.05017725005745888,81630.61936055875,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,train,2.4719719886779785,11.845783585308553,0.285888671875,,,,2.4719719886779785,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.5979557037353516,0.0,1.5979557037353516,905216,0.05545937502756715,73855.8629260428,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,train,2.4678540229797363,11.797103355385758,0.276123046875,,,,2.4678540229797363,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7759754657745361,0.0,1.7759754657745361,987136,0.05231679091230035,78292.26389031018,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,train,2.4353625774383545,11.419958582138907,0.28466796875,,,,2.4353625774383545,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.5143166780471802,0.0,1.5143166780471802,1069056,0.055985374841839075,73161.96438036476,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
280,train,2.4507851600646973,11.597448999188941,0.2763671875,,,,2.4507851600646973,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.6508537530899048,0.0,1.6508537530899048,1150976,0.05626833299174905,72794.05275078294,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,train,2.4480700492858887,11.56600334893419,0.274658203125,,,,2.4480700492858887,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9007219076156616,0.0,1.9007219076156616,1232896,0.05628066696226597,72778.09985347564,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,train,2.4284636974334717,11.341444798209103,0.28564453125,,,,2.4284636974334717,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.8147773742675781,0.0,1.8147773742675781,1314816,0.05608133412897587,73036.77887869104,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,train,2.42696475982666,11.324457414780046,0.292236328125,,,,2.42696475982666,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.0865769386291504,0.0,2.0865769386291504,1396736,0.056540457997471094,72443.70040623307,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,train,2.4175713062286377,11.218579706726565,0.291259765625,,,,2.4175713062286377,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7113417387008667,0.0,1.7113417387008667,1478656,0.05525766685605049,74125.46046633355,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,train,2.4269039630889893,11.323768945641884,0.295654296875,,,,2.4269039630889893,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.818357229232788,0.0,1.818357229232788,1560576,0.054647333920001984,74953.33635115884,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
399,validation,,,,2.437588798999786,11.445410260190673,0.28111572265625,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.2668686672113836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,train,2.3828561305999756,10.835807190017947,0.296142578125,,,,2.3828561305999756,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7519989013671875,0.0,1.7519989013671875,1642496,0.05122433276847005,79961.99810964054,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
420,train,2.425386905670166,11.306603161985784,0.278564453125,,,,2.425386905670166,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7179803848266602,0.0,1.7179803848266602,1724416,0.052136790938675404,78562.56448191869,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,train,2.3735904693603516,10.735869978498028,0.29931640625,,,,2.3735904693603516,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.3976714611053467,0.0,1.3976714611053467,1806336,0.05213437508791685,78566.2049864932,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,train,2.3775100708007812,10.778032886848148,0.296142578125,,,,2.3775100708007812,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.846532940864563,0.0,1.846532940864563,1888256,0.052235832903534174,78413.6056098547,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,train,2.381779909133911,10.824151734768478,0.291748046875,,,,2.381779909133911,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.048665761947632,0.0,2.048665761947632,1970176,0.05121558392420411,79975.65752763506,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,train,2.3641304969787598,10.634787816069677,0.312744140625,,,,2.3641304969787598,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.7817667722702026,0.0,1.7817667722702026,2052096,0.054292417131364346,75443.31633070302,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,train,2.3708763122558594,10.706770648663097,0.2802734375,,,,2.3708763122558594,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.1369903087615967,0.0,2.1369903087615967,2134016,0.05779125029221177,70875.78100991521,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,train,2.339998722076416,10.381223296313287,0.322021484375,,,,2.339998722076416,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.8958842754364014,0.0,1.8958842754364014,2215936,0.05606300011277199,73060.663749011,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
