token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.713924050632911,4.286075949367088
1, ,3089,4.0197474910974424,3.9802525089025576
2,!,42,3.1666666666666665,4.833333333333334
5,',128,2.640625,5.359375
6,",",389,4.298200514138817,3.7017994858611827
7,-,34,3.823529411764706,4.1764705882352935
8,.,159,3.911949685534591,4.088050314465409
10,:,216,3.814814814814815,4.185185185185185
11,;,70,3.6714285714285713,4.328571428571429
12,?,44,3.3636363636363638,4.636363636363637
13,A,180,2.8222222222222224,5.177777777777777
14,B,60,2.1666666666666665,5.833333333333334
15,C,57,3.2982456140350878,4.701754385964913
16,D,27,3.1481481481481484,4.851851851851851
17,E,84,2.0476190476190474,5.9523809523809526
18,F,17,3.0,5.0
19,G,49,2.489795918367347,5.5102040816326525
20,H,60,2.3333333333333335,5.666666666666666
21,I,252,3.9761904761904763,4.023809523809524
22,J,1,3.0,5.0
23,K,30,1.9333333333333333,6.066666666666666
24,L,63,2.4603174603174605,5.5396825396825395
25,M,43,2.511627906976744,5.488372093023256
26,N,97,3.88659793814433,4.11340206185567
27,O,170,2.523529411764706,5.476470588235294
28,P,82,3.024390243902439,4.975609756097561
30,R,108,2.2685185185185186,5.731481481481481
31,S,91,2.3076923076923075,5.6923076923076925
32,T,160,3.4125,4.5875
33,U,44,3.5454545454545454,4.454545454545455
34,V,4,2.75,5.25
35,W,52,2.8653846153846154,5.134615384615385
37,Y,10,3.4,4.6
38,Z,10,2.6,5.4
39,a,1075,3.7274418604651163,4.272558139534883
40,b,211,2.009478672985782,5.990521327014218
41,c,255,3.0313725490196077,4.968627450980392
42,d,552,3.621376811594203,4.378623188405797
43,e,1691,3.4991129509166172,4.500887049083383
44,f,284,3.3098591549295775,4.690140845070422
45,g,208,3.8509615384615383,4.149038461538462
46,h,979,3.2829417773237997,4.717058222676201
47,i,801,3.009987515605493,4.990012484394507
48,j,7,1.4285714285714286,6.571428571428571
49,k,126,3.5317460317460316,4.468253968253968
50,l,558,3.471326164874552,4.528673835125447
51,m,410,3.0585365853658537,4.941463414634146
52,n,853,2.8042203985932006,5.1957796014068
53,o,1166,4.566895368782161,3.433104631217839
54,p,202,2.485148514851485,5.514851485148515
55,q,8,3.0,5.0
56,r,833,2.881152460984394,5.118847539015606
57,s,974,3.6139630390143735,4.386036960985626
58,t,1249,4.075260208166533,3.924739791833467
59,u,471,3.2144373673036095,4.78556263269639
60,v,126,2.2857142857142856,5.714285714285714
61,w,355,3.6816901408450704,4.31830985915493
62,x,3,2.6666666666666665,5.333333333333334
63,y,363,3.790633608815427,4.209366391184573
64,z,8,2.375,5.625
