token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.7443037974683544,4.255696202531645
1, ,3089,4.442861767562318,3.5571382324376817
2,!,42,3.380952380952381,4.619047619047619
5,',128,2.9765625,5.0234375
6,",",389,4.5295629820051415,3.4704370179948585
7,-,34,3.8529411764705883,4.147058823529411
8,.,159,3.9685534591194966,4.031446540880504
10,:,216,3.925925925925926,4.074074074074074
11,;,70,3.842857142857143,4.157142857142857
12,?,44,3.6136363636363638,4.386363636363637
13,A,180,2.783333333333333,5.216666666666667
14,B,60,2.1666666666666665,5.833333333333334
15,C,57,3.2982456140350878,4.701754385964913
16,D,27,3.259259259259259,4.7407407407407405
17,E,84,2.0357142857142856,5.964285714285714
18,F,17,3.1176470588235294,4.882352941176471
19,G,49,2.6530612244897958,5.346938775510204
20,H,60,2.5833333333333335,5.416666666666666
21,I,252,4.063492063492063,3.9365079365079367
22,J,1,3.0,5.0
23,K,30,2.1666666666666665,5.833333333333334
24,L,63,2.5714285714285716,5.428571428571429
25,M,43,2.6511627906976742,5.348837209302326
26,N,97,3.917525773195876,4.082474226804123
27,O,170,2.541176470588235,5.458823529411765
28,P,82,3.097560975609756,4.902439024390244
30,R,108,2.25,5.75
31,S,91,2.3626373626373627,5.637362637362637
32,T,160,3.475,4.525
33,U,44,3.340909090909091,4.659090909090909
34,V,4,3.0,5.0
35,W,52,2.980769230769231,5.019230769230769
37,Y,10,3.6,4.4
38,Z,10,2.7,5.3
39,a,1075,4.007441860465116,3.992558139534884
40,b,211,2.203791469194313,5.796208530805687
41,c,255,3.0823529411764707,4.91764705882353
42,d,552,3.8043478260869565,4.195652173913043
43,e,1691,4.172087522176227,3.827912477823773
44,f,284,3.454225352112676,4.545774647887324
45,g,208,3.9759615384615383,4.024038461538462
46,h,979,3.4463738508682327,4.553626149131768
47,i,801,3.0387016229712858,4.961298377028714
48,j,7,1.7142857142857142,6.285714285714286
49,k,126,3.611111111111111,4.388888888888889
50,l,558,3.5555555555555554,4.444444444444445
51,m,410,3.2146341463414636,4.785365853658536
52,n,853,3.066822977725674,4.933177022274326
53,o,1166,4.596054888507719,3.4039451114922814
54,p,202,2.6881188118811883,5.311881188118812
55,q,8,3.0,5.0
56,r,833,3.0936374549819927,4.906362545018007
57,s,974,3.627310061601643,4.3726899383983575
58,t,1249,4.169735788630905,3.8302642113690952
59,u,471,3.3014861995753715,4.698513800424628
60,v,126,2.4047619047619047,5.595238095238095
61,w,355,3.8112676056338026,4.188732394366197
62,x,3,2.6666666666666665,5.333333333333334
63,y,363,3.922865013774105,4.077134986225895
64,z,8,2.75,5.25
