step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec,estimated_block_flops,estimated_flops_vs_dense,budget_3_depth,budget_3_ce,budget_3_reward,budget_3_flops_vs_dense,budget_4_depth,budget_4_ce,budget_4_reward,budget_4_flops_vs_dense,budget_5_depth,budget_5_ce,budget_5_reward,budget_5_flops_vs_dense,budget_8_depth,budget_8_ce,budget_8_reward,budget_8_flops_vs_dense
0,grpo_train,-2.6261825561523438,0.3016023337841034,-2.229170083999634,-2.9773941040039062,2.563581943511963,0.06260070949792862,1.339456275673001e-06,7.450580596923828e-08,0.9999961853027344,0.650033175945282,0.650033175945282,0.1601635217666626,0.8359375,1.0024840831756592,9.999753262144806e-05,0.05530775710940361,0.05530775710940361,0.0,4096,1.2820752910338342,3194.8201705822485,,,,,,,,,,,,3.11328125,2.9384779930114746,-2.9773941040039062,0.8908025568181818,4.0068359375,2.680147409439087,-2.7302329540252686,1.0938831676136365,4.912109375,2.5065319538116455,-2.5679333209991455,1.2996271306818181,8.0,2.1291699409484863,-2.229170083999634,2.0014204545454546
10,grpo_train,-2.659045457839966,0.32414960861206055,-2.2392654418945312,-3.0375547409057617,2.596508741378784,0.06253662705421448,0.0008172654779627919,1.7508864402770996e-07,0.9999961256980896,0.6495285034179688,0.649536669254303,0.16304130852222443,0.8391519784927368,0.9996925592422485,9.970177445201784e-05,0.047420915216207504,0.047420915216207504,0.0,45056,0.9876875407062471,4147.060513764455,,,,,,,,,,,,3.1044921875,2.985994815826416,-3.024801015853882,0.8888050426136364,3.998046875,2.7126364707946777,-2.7626121044158936,1.0918856534090908,4.9091796875,2.548137903213501,-2.6095027923583984,1.2989612926136365,8.0,2.139265537261963,-2.2392654418945312,2.0014204545454546
20,grpo_train,-2.6807854175567627,0.3137846887111664,-2.2559146881103516,-3.048617362976074,2.6182520389556885,0.06253357231616974,0.002957847435027361,4.842877388000488e-08,0.9999963641166687,0.6492760181427002,0.6493055820465088,0.171881765127182,0.8364461660385132,0.9950762987136841,9.891625428724362e-05,0.0484924279153347,0.0484924279153347,0.0,86016,0.887935834005475,4612.945939486371,,,,,,,,,,,,3.1025390625,3.009835720062256,-3.048617362976074,0.8883611505681818,4.0029296875,2.677891254425049,-2.7279279232025146,1.0929953835227273,4.9052734375,2.629366397857666,-2.6906824111938477,1.2980735085227273,8.0,2.155914783477783,-2.2559146881103516,2.0014204545454546
30,grpo_train,-2.6988682746887207,0.32812386751174927,-2.300448179244995,-3.03739070892334,2.6363468170166016,0.06252136826515198,0.006492152810096741,3.725290298461914e-08,0.9999961853027344,0.6549354791641235,0.6550003886222839,0.17304882407188416,0.8337198495864868,0.9887079000473022,9.764957845043135e-05,0.04574095830321312,0.04574095830321312,0.0,126976,0.9375776248052716,4368.704938805158,,,,,,,,,,,,3.0986328125,2.982555627822876,-3.0212886333465576,0.8874733664772727,4.009765625,2.7817318439483643,-2.8318538665771484,1.0945490056818181,4.8984375,2.5806517601013184,-2.6418821811676025,1.2965198863636365,8.0,2.2004482746124268,-2.300448179244995,2.0014204545454546
40,grpo_train,-2.662627696990967,0.2944355309009552,-2.3106181621551514,-3.027379035949707,2.600078582763672,0.06254883110523224,0.01213718019425869,-1.341104507446289e-07,0.9999961256980896,0.6276108026504517,0.6277321577072144,0.18179595470428467,0.8306071162223816,1.007215976715088,9.591562490711808e-05,0.058093633502721786,0.058093633502721786,0.0,167936,0.9549862090498209,4289.067173101255,,,,,,,,,,,,3.115234375,2.988438367843628,-3.027379035949707,0.8912464488636364,4.0009765625,2.705113172531128,-2.7551252841949463,1.0925514914772727,4.8994140625,2.496145248413086,-2.5573880672454834,1.2967418323863635,8.0,2.210618257522583,-2.3106181621551514,2.0014204545454546
49,validation,,,,,,,,,,,,0.16948505863547325,,,,,,,,,,2.142747497558594,8.522821922455488,0.37177734375,0.5413685441017151,0.5319091796875,4.2552734375,0.5319091796875,0.4680908203125,3.833679874893278,424591360.0,1.1503462357954546,,,,,,,,,,,,,,,,
50,grpo_train,-2.6853437423706055,0.35094213485717773,-2.2238781452178955,-3.0877294540405273,2.622788906097412,0.06255492568016052,0.016731472685933113,-1.6763806343078613e-07,0.9999967813491821,0.6443631649017334,0.6445304751396179,0.1831250935792923,0.8330891728401184,0.9932295083999634,9.373339121517747e-05,0.05146396905183792,0.05146396905183792,0.0,208896,0.9225911251269281,4439.6698477199,,,,,,,,,,,,3.125,3.025301456451416,-3.064363956451416,0.8934659090909091,3.9912109375,2.824737310409546,-2.8746273517608643,1.09033203125,4.9013671875,2.517237663269043,-2.578504800796509,1.2971857244318181,8.0,2.123878240585327,-2.2238781452178955,2.0014204545454546
60,grpo_train,-2.5981478691101074,0.2934218645095825,-2.229423999786377,-2.9397764205932617,2.5356264114379883,0.06252136081457138,0.025009620934724808,-1.564621925354004e-07,0.9999960064888,0.6310760974884033,0.6313261985778809,0.18759946525096893,0.8242594599723816,0.996263325214386,9.112678638360019e-05,0.05672525614500046,0.05672525614500046,0.0,249856,0.8688690830022097,4714.1739533959035,,,,,,,,,,,,3.111328125,2.9008851051330566,-2.9397764205932617,0.8903586647727273,3.9921875,2.6347150802612305,-2.684617519378662,1.0905539772727273,4.9033203125,2.4774816036224365,-2.5387730598449707,1.2976296164772727,8.0,2.1294240951538086,-2.229423999786377,2.0014204545454546
70,grpo_train,-2.6807658672332764,0.3137551546096802,-2.304461717605591,-3.0467488765716553,2.6181559562683105,0.06260986626148224,0.033530037850141525,-7.82310962677002e-08,0.9999963045120239,0.6398746967315674,0.640209972858429,0.19492971897125244,0.823974609375,0.9946706295013428,8.812436892038808e-05,0.06437139958143234,0.06437139958143234,0.0,290816,0.9196103750728071,4454.0602314058415,,,,,,,,,,,,3.111328125,3.007857084274292,-3.0467488765716553,0.8903586647727273,3.9990234375,2.729475498199463,-2.779463291168213,1.0921075994318181,4.9248046875,2.5308291912078857,-2.5923893451690674,1.3025124289772727,8.0,2.2044618129730225,-2.304461717605591,2.0014204545454546
80,grpo_train,-2.7588624954223633,0.283565878868103,-2.429816246032715,-3.095400810241699,2.6964571475982666,0.06240539252758026,0.04142493009567261,-2.2724270820617676e-07,0.9999955296516418,0.6172142624855042,0.6176285147666931,0.2008628249168396,0.8211873769760132,0.9979628324508667,8.475903393956435e-05,0.05833655595779419,0.05833655595779419,0.0,331776,0.8642156659625471,4739.557683715387,,,,,,,,,,,,3.0869140625,3.056814432144165,-3.095400810241699,0.8848100142045454,3.982421875,2.7639477252960205,-2.813728094100952,1.0883345170454546,4.900390625,2.6352500915527344,-2.696504831314087,1.2969637784090908,8.0,2.3298163414001465,-2.429816246032715,2.0014204545454546
