token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",790,3.7822784810126584,4.217721518987341
1, ,3089,4.590806086112011,3.4091939138879894
2,!,42,3.5952380952380953,4.404761904761905
5,',128,2.875,5.125
6,",",389,4.5347043701799485,3.4652956298200515
7,-,34,3.676470588235294,4.3235294117647065
8,.,159,3.9748427672955975,4.0251572327044025
10,:,216,3.9583333333333335,4.041666666666666
11,;,70,3.842857142857143,4.157142857142857
12,?,44,3.7045454545454546,4.295454545454545
13,A,180,2.7666666666666666,5.233333333333333
14,B,60,2.2,5.8
15,C,57,3.3333333333333335,4.666666666666666
16,D,27,3.2962962962962963,4.703703703703704
17,E,84,2.0476190476190474,5.9523809523809526
18,F,17,3.176470588235294,4.8235294117647065
19,G,49,2.857142857142857,5.142857142857142
20,H,60,2.683333333333333,5.316666666666666
21,I,252,4.087301587301587,3.912698412698413
22,J,1,3.0,5.0
23,K,30,2.1333333333333333,5.866666666666667
24,L,63,2.634920634920635,5.365079365079366
25,M,43,2.7674418604651163,5.232558139534884
26,N,97,4.0,4.0
27,O,170,2.4941176470588236,5.5058823529411764
28,P,82,3.1097560975609757,4.890243902439025
30,R,108,2.3055555555555554,5.694444444444445
31,S,91,2.3736263736263736,5.626373626373626
32,T,160,3.55,4.45
33,U,44,3.159090909090909,4.840909090909091
34,V,4,3.0,5.0
35,W,52,3.0,5.0
37,Y,10,3.7,4.3
38,Z,10,2.7,5.3
39,a,1075,4.292093023255814,3.7079069767441863
40,b,211,2.2701421800947865,5.729857819905213
41,c,255,3.1176470588235294,4.882352941176471
42,d,552,3.878623188405797,4.121376811594203
43,e,1691,4.283264340626848,3.7167356593731524
44,f,284,3.545774647887324,4.454225352112676
45,g,208,4.0048076923076925,3.9951923076923075
46,h,979,3.302349336057201,4.697650663942799
47,i,801,3.0574282147315857,4.942571785268415
48,j,7,1.8571428571428572,6.142857142857142
49,k,126,3.5634920634920637,4.436507936507937
50,l,558,3.560931899641577,4.439068100358423
51,m,410,3.1121951219512196,4.88780487804878
52,n,853,3.045720984759672,4.954279015240328
53,o,1166,4.573756432246999,3.4262435677530014
54,p,202,2.8118811881188117,5.188118811881188
55,q,8,3.25,4.75
56,r,833,3.078031212484994,4.921968787515006
57,s,974,3.5626283367556466,4.437371663244353
58,t,1249,4.188150520416333,3.8118494795836666
59,u,471,3.3121019108280256,4.687898089171974
60,v,126,2.4523809523809526,5.5476190476190474
61,w,355,3.732394366197183,4.267605633802817
62,x,3,2.6666666666666665,5.333333333333334
63,y,363,3.953168044077135,4.046831955922865
64,z,8,2.75,5.25
