step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec,estimated_block_flops,estimated_flops_vs_dense,budget_3_depth,budget_3_ce,budget_3_reward,budget_3_flops_vs_dense,budget_4_depth,budget_4_ce,budget_4_reward,budget_4_flops_vs_dense,budget_5_depth,budget_5_ce,budget_5_reward,budget_5_flops_vs_dense,budget_8_depth,budget_8_ce,budget_8_reward,budget_8_flops_vs_dense
0,grpo_train,-3.815596103668213,0.22360017895698547,-3.626293420791626,-4.129169940948486,2.563581943511963,1.25201416015625,1.246226133844175e-06,-1.9744038581848145e-07,0.9999945163726807,-0.35200560092926025,-0.35200560092926025,0.16016879677772522,0.83587646484375,1.002528190612793,9.999753262144806e-05,0.03718089312314987,0.03718089312314987,0.0,4096,1.1041632499545813,3709.5963845640445,,,,,,,,,,,,3.11328125,2.9384779930114746,-3.7167983055114746,0.8908025568181818,4.0068359375,2.680147409439087,-3.681856393814087,1.0938831676136365,4.912109375,2.5065319538116455,-3.7345590591430664,1.2996271306818181,8.0,2.1291699409484863,-4.129169940948486,2.0014204545454546
10,grpo_train,-3.8477725982666016,0.2297932356595993,-3.613774061203003,-4.19814920425415,2.5969181060791016,1.2508544921875,0.000650824629701674,6.51925802230835e-08,0.999995231628418,-0.30244848132133484,-0.3024419844150543,0.16314516961574554,0.8380940556526184,1.0001640319824219,9.970177445201784e-05,0.03922325745224953,0.03922325745224953,0.0,45056,0.9090008339844644,4506.04647087706,,,,,,,,,,,,3.1064453125,2.985761880874634,-3.762373208999634,0.8892489346590909,3.998046875,2.714266777038574,-3.713778495788574,1.0918856534090908,4.9091796875,2.5483782291412354,-3.7756731510162354,1.2989612926136365,8.0,2.139265537261963,-4.139265537261963,2.0014204545454546
20,grpo_train,-3.868467092514038,0.22404906153678894,-3.647676467895508,-4.155914783477783,2.617673635482788,1.25079345703125,0.0026880772784352303,-2.4586915969848633e-07,0.9999947547912598,-0.31581443548202515,-0.31578755378723145,0.1714392900466919,0.8356119990348816,0.995689868927002,9.891625428724362e-05,0.04453786835074425,0.04453786835074425,0.0,86016,0.8942691660486162,4580.276448642896,,,,,,,,,,,,3.1044921875,3.0105457305908203,-3.7866687774658203,0.8888050426136364,4.0009765625,2.674779176712036,-3.675023317337036,1.0925514914772727,4.9072265625,2.6294543743133545,-3.8562612533569336,1.2985174005681819,8.0,2.155914783477783,-4.155914783477783,2.0014204545454546
30,grpo_train,-3.8875741958618164,0.2611323893070221,-3.681483745574951,-4.200809478759766,2.6372079849243164,1.2503662109375,0.006310639902949333,-4.0978193283081055e-08,0.9999947547912598,-0.3483912944793701,-0.34832820296287537,0.1723751425743103,0.8306070566177368,0.9892691373825073,9.764957845043135e-05,0.03918939456343651,0.03918939456343651,0.0,126976,0.9009077078662813,4546.52564767262,,,,,,,,,,,,3.09765625,2.987172842025757,-3.7615866661071777,0.8872514204545454,4.01171875,2.7810020446777344,-3.7839317321777344,1.0949928977272727,4.896484375,2.5802083015441895,-3.8043296337127686,1.2960759943181819,8.0,2.2004482746124268,-4.200448513031006,2.0014204545454546
40,grpo_train,-3.850977897644043,0.24717292189598083,-3.677147150039673,-4.210618495941162,2.599940299987793,1.25103759765625,0.011925988830626011,7.450580596923828e-08,0.999995231628418,-0.39411622285842896,-0.3939969539642334,0.18126581609249115,0.8280842900276184,1.0060758590698242,9.591562490711808e-05,0.038498908281326294,0.038498908281326294,0.0,167936,0.9001684579998255,4550.259413778298,,,,,,,,,,,,3.1162109375,2.986626148223877,-3.765678882598877,0.8914683948863636,4.00390625,2.7011942863464355,-3.7021708488464355,1.0932173295454546,4.896484375,2.5013232231140137,-3.7254440784454346,1.2960759943181819,8.0,2.210618257522583,-4.210618495941162,2.0014204545454546
49,validation,,,,,,,,,,,,0.1701604276895523,,,,,,,,,,2.1415793180465696,8.51287154954349,0.37138671875,0.5431926429271698,0.535369873046875,4.282958984375,0.535369873046875,0.464630126953125,3.9194169589318335,426913792.0,1.1566384055397727,,,,,,,,,,,,,,,,
50,grpo_train,-3.8732542991638184,0.20912136137485504,-3.671483039855957,-4.123878002166748,2.6220335960388184,1.251220703125,0.016831371933221817,4.842877388000488e-08,0.9999935626983643,-0.2822321653366089,-0.2820638418197632,0.18338079750537872,0.8305460810661316,0.9947609305381775,9.373339121517747e-05,0.04266009107232094,0.04266009107232094,0.0,208896,0.9686870421282947,4228.403831025457,,,,,,,,,,,,3.126953125,3.029425621032715,-3.811164140701294,0.8939098011363636,3.9921875,2.8163211345672607,-3.8143677711486816,1.0905539772727273,4.900390625,2.5185089111328125,-3.7436065673828125,1.2969637784090908,8.0,2.123878240585327,-4.123878002166748,2.0014204545454546
60,grpo_train,-3.7860589027404785,0.24709880352020264,-3.580754518508911,-4.129424095153809,2.5362420082092285,1.24981689453125,0.024739600718021393,3.725290298461914e-09,0.9999951124191284,-0.3790285587310791,-0.37878116965293884,0.18714539706707,0.8186441659927368,0.9946059584617615,9.112678638360019e-05,0.03536791726946831,0.03536791726946831,0.0,249856,0.904021792113781,4530.864228861945,,,,,,,,,,,,3.10546875,2.8944716453552246,-3.6708388328552246,0.8890269886363636,3.98828125,2.6399166584014893,-3.6369869709014893,1.0896661931818181,4.9033203125,2.4811556339263916,-3.7069857120513916,1.2976296164772727,8.0,2.1294240951538086,-4.129424095153809,2.0014204545454546
70,grpo_train,-3.8642022609710693,0.2536717653274536,-3.6737585067749023,-4.204462051391602,2.6124322414398193,1.25177001953125,0.03257410228252411,-9.313225746154785e-08,0.9999951124191284,-0.3816382884979248,-0.3813125491142273,0.19404363632202148,0.81787109375,0.9959905743598938,8.812436892038808e-05,0.03625526651740074,0.03625526651740074,0.0,290816,0.9103217087686062,4499.508207423359,,,,,,,,,,,,3.1064453125,2.990064859390259,-3.766676187515259,0.8892489346590909,4.001953125,2.7299604415893555,-3.7304484844207764,1.0927734375,4.919921875,2.5252418518066406,-3.7552223205566406,1.3014026988636365,8.0,2.2044618129730225,-4.204462051391602,2.0014204545454546
80,grpo_train,-3.939363479614258,0.2776269018650055,-3.7007274627685547,-4.3298163414001465,2.691560745239258,1.247802734375,0.04059969633817673,2.1606683731079102e-07,0.9999955892562866,-0.39793625473976135,-0.3975302577018738,0.19996586441993713,0.81622314453125,0.9971611499786377,8.475903393956435e-05,0.03639904782176018,0.03639904782176018,0.0,331776,0.9038692503236234,4531.628881647936,,,,,,,,,,,,3.083984375,3.0487804412841797,-3.8197765350341797,0.8841441761363636,3.986328125,2.7629733085632324,-3.7595553398132324,1.0892223011363635,4.89453125,2.624673366546631,-3.848306179046631,1.2956321022727273,8.0,2.3298163414001465,-4.3298163414001465,2.0014204545454546
