step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_0_soft_probability,layer_1_soft_probability
0,train,4.1790642738342285,65.30471728251578,0.0,,,,4.1790642738342285,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,2.0477335453033447,0.0,2.0477335453033447,64,0.5970622501336038,107.19150303955543,,1.0,1.0,1.0,1.0
2,train,4.042016983032227,56.941076243493264,0.140625,,,,4.042016983032227,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.862923502922058,0.0,1.862923502922058,192,0.01866066688671708,3429.673783285638,,1.0,1.0,1.0,1.0
4,train,3.841740608215332,46.606527583241004,0.15625,,,,3.841740608215332,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.7822275161743164,0.0,1.7822275161743164,320,0.017279874999076128,3703.730495933667,,1.0,1.0,1.0,1.0
6,train,3.6900882720947266,40.048381955829214,0.125,,,,3.6900882720947266,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,2.009272575378418,0.0,2.009272575378418,448,0.017384415958076715,3681.458160822821,,1.0,1.0,1.0,1.0
8,train,3.4383134841918945,31.134405198515566,0.171875,,,,3.4383134841918945,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.84438955783844,0.0,1.84438955783844,576,0.019030124880373478,3363.0888079986134,,1.0,1.0,1.0,1.0
9,validation,,,,3.514523148536682,33.59990194081188,0.109375,,0.0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,0.006278207991272211,1.0,1.0,1.0,1.0
10,train,3.4911203384399414,32.822699647199066,0.125,,,,3.4911203384399414,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.687390923500061,0.0,1.687390923500061,704,0.013855208177119493,4619.201615872483,,1.0,1.0,1.0,1.0
12,train,3.320934772491455,27.686218781891025,0.140625,,,,3.320934772491455,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.8182810544967651,0.0,1.8182810544967651,832,0.013460625428706408,4754.6081969944935,,1.0,1.0,1.0,1.0
14,train,3.6406259536743164,38.11568791464973,0.109375,,,,3.6406259536743164,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,13.258111000061035,0.0,13.258111000061035,960,0.012973625212907791,4933.085313449996,,1.0,1.0,1.0,1.0
16,train,3.494819164276123,32.94432990256109,0.09375,,,,3.494819164276123,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,7.827306270599365,0.0,7.827306270599365,1088,0.011217250023037195,5705.498216457806,,1.0,1.0,1.0,1.0
18,train,3.198374032974243,24.492673523549932,0.171875,,,,3.198374032974243,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,1.8465889692306519,0.0,1.8465889692306519,1216,0.01304008299484849,4907.944222846076,,1.0,1.0,1.0,1.0
19,train,3.3499488830566406,28.501276708383383,0.171875,,,,3.3499488830566406,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.1,6.674715995788574,0.0,6.674715995788574,1280,0.010994166135787964,5821.269135789083,,1.0,1.0,1.0,1.0
19,validation,,,,3.5915608406066895,36.290675703652845,0.1015625,,0.0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,0.00435266736894846,1.0,1.0,1.0,1.0
