step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
0,train,4.184664726257324,65.67147930265664,0.046875,,,,4.185201644897461,0.00537109375,0.1,0.5,0.49998152256011963,0.5078125,2.03125,0.5078125,0.4921875,0.6931411027908325,0.1,2.104083776473999,0.02614678256213665,2.103921413421631,64,0.43660241598263383,146.5864540762084,,0.5625,0.515625,0.484375,0.46875,0.49899476766586304,0.5007647275924683,0.49954819679260254,0.5006184577941895
2,train,4.03387451171875,56.4793176429089,0.09375,,,,4.035021781921387,0.011474609375,0.1,0.5,0.5000046491622925,0.51171875,2.046875,0.51171875,0.48828125,0.6931411027908325,0.1,1.4983599185943604,0.08317848294973373,1.496049404144287,192,0.025129749905318022,2546.7822099756017,,0.546875,0.578125,0.453125,0.46875,0.4987035095691681,0.5011440515518188,0.49991294741630554,0.5002580881118774
4,train,3.893117904663086,49.06362399159729,0.125,,,,3.8942654132843018,0.011474609375,0.1,0.5,0.5013036727905273,0.51171875,2.046875,0.51171875,0.48828125,0.6931347846984863,0.1,1.3590903282165527,0.11242443323135376,1.3544323444366455,320,0.023350500036031008,2740.8406629941437,,0.578125,0.46875,0.546875,0.453125,0.499006986618042,0.5024245977401733,0.5005717277526855,0.503211498260498
6,train,3.7002081871032715,40.45572584378899,0.15625,,,,3.703479766845703,0.03271484375,0.1,0.5,0.5029670000076294,0.5234375,2.09375,0.5234375,0.4765625,0.6931129097938538,0.1,1.6391009092330933,0.23675641417503357,1.621911883354187,448,0.024456166196614504,2616.92693308813,,0.453125,0.4375,0.546875,0.65625,0.4992864727973938,0.5045995116233826,0.5029175877571106,0.5050646066665649
8,train,3.5631163120269775,35.27294755872468,0.15625,,,,3.564239263534546,0.01123046875,0.1,0.5,0.5044333338737488,0.5390625,2.15625,0.5390625,0.4609375,0.6930866241455078,0.1,1.7312875986099243,0.279527872800827,1.7085727453231812,576,0.026037583127617836,2457.985431532459,,0.515625,0.5,0.59375,0.546875,0.5003416538238525,0.505092978477478,0.5048363208770752,0.5074623823165894
9,validation,,,,3.480926990509033,32.48982588096908,0.1171875,,0.6533203125,,0.5,0.505516529083252,0.890625,3.5625,0.890625,0.109375,0.6930530667304993,,,,,,,,0.014814166817814112,0.734375,0.9140625,0.9609375,0.953125,0.5009464025497437,0.5062204599380493,0.5059146881103516,0.5089845061302185
10,train,3.413297176361084,30.365198800656348,0.1875,,,,3.416715145111084,0.0341796875,0.1,0.5,0.5053353905677795,0.546875,2.1875,0.546875,0.453125,0.6930565237998962,0.1,1.7481138706207275,0.20362567901611328,1.7362139225006104,704,0.025739291217178106,2486.4709544638563,,0.640625,0.546875,0.421875,0.578125,0.5007794499397278,0.5059341192245483,0.5058399438858032,0.508787989616394
12,train,3.379446268081665,29.354512081845677,0.171875,,,,3.383718729019165,0.042724609375,0.1,0.5,0.5070526003837585,0.44140625,1.765625,0.44140625,0.55859375,0.6930118799209595,0.1,2.312368631362915,1.1480504274368286,2.007244110107422,832,0.0236218748614192,2709.353104927713,,0.53125,0.515625,0.328125,0.390625,0.5014826655387878,0.5086419582366943,0.507405161857605,0.5106804966926575
14,train,3.20471453666687,24.64846277972588,0.21875,,,,3.206594467163086,0.018798828125,0.1,0.5,0.5101328492164612,0.56640625,2.265625,0.56640625,0.43359375,0.6928653717041016,0.1,2.269726037979126,1.2828938961029053,1.8723888397216797,960,0.023554124869406223,2717.1461625019983,,0.5625,0.5625,0.59375,0.546875,0.5024166107177734,0.5134040713310242,0.50949627161026,0.5152143836021423
16,train,3.218813896179199,24.998451830713503,0.140625,,,,3.2196195125579834,0.008056640625,0.1,0.5,0.509845495223999,0.49609375,1.984375,0.49609375,0.50390625,0.6928750276565552,0.1,2.6713132858276367,0.5553032159805298,2.6129586696624756,1088,0.02571854181587696,2488.4770084628417,,0.46875,0.546875,0.4375,0.53125,0.5023856163024902,0.51286381483078,0.5078340768814087,0.5162982940673828
18,train,3.244298219680786,25.643707494812524,0.21875,,,,3.2462024688720703,0.01904296875,0.1,0.5,0.5100477933883667,0.5078125,2.03125,0.5078125,0.4921875,0.69287109375,0.1,2.4397730827331543,0.5529670119285583,2.3762829303741455,1216,0.03185695922002196,2008.9801904186847,,0.546875,0.390625,0.53125,0.5625,0.5028055310249329,0.513313353061676,0.5084056854248047,0.5156666040420532
19,train,3.069490909576416,21.53093868971155,0.1875,,,,3.070150136947632,0.006591796875,0.1,0.5,0.5102923512458801,0.48046875,1.921875,0.48046875,0.51953125,0.692863941192627,0.1,2.756678819656372,2.085731267929077,1.8024989366531372,1280,0.041406708769500256,1545.6432520698609,,0.421875,0.515625,0.484375,0.5,0.502693772315979,0.5152883529663086,0.5088664293289185,0.5143208503723145
19,validation,,,,3.477164149284363,32.36780154783561,0.1171875,,0.87060546875,,0.5,0.5115351676940918,0.96484375,3.859375,0.96484375,0.03515625,0.6927836239337921,,,,,,,,0.011312666349112988,0.9296875,0.9765625,0.9765625,0.9765625,0.5032556653022766,0.51814866065979,0.5084609985351562,0.5162752866744995
