token_id,token,count,average_skipped_layers,average_executed_layers
0,"
",5,2.6,1.4
1, ,20,0.95,3.05
6,",",1,4.0,0.0
7,-,1,2.0,2.0
10,:,2,1.0,3.0
15,C,1,2.0,2.0
17,E,1,1.0,3.0
20,H,1,2.0,2.0
21,I,3,0.6666666666666666,3.3333333333333335
27,O,1,0.0,4.0
28,P,2,0.0,4.0
30,R,1,3.0,1.0
31,S,1,1.0,3.0
32,T,1,1.0,3.0
33,U,1,4.0,0.0
39,a,7,2.5714285714285716,1.4285714285714284
40,b,1,1.0,3.0
41,c,3,1.6666666666666667,2.333333333333333
42,d,4,0.75,3.25
43,e,7,1.7142857142857142,2.2857142857142856
44,f,1,3.0,1.0
45,g,2,1.5,2.5
46,h,5,2.2,1.7999999999999998
47,i,8,1.25,2.75
49,k,1,1.0,3.0
50,l,3,2.3333333333333335,1.6666666666666665
51,m,1,2.0,2.0
52,n,8,1.875,2.125
53,o,6,2.0,2.0
54,p,1,0.0,4.0
55,q,1,4.0,0.0
56,r,3,2.3333333333333335,1.6666666666666665
57,s,10,1.3,2.7
58,t,6,2.5,1.5
59,u,2,2.0,2.0
60,v,1,1.0,3.0
61,w,4,1.75,2.25
63,y,1,1.0,3.0
