model,router_type,training_method,seed,target_density,actual_density,lambda_density,lambda_grpo,val_loss,val_perplexity,val_accuracy,layers_per_token,compute_fraction,skip_fraction,parameter_count,active_parameter_estimate,training_time_sec,seconds_per_step,tokens_per_sec,generation_tokens_per_sec,generation_ms_per_token,mean_reward,pearson_nll_depth,spearman_nll_depth,checkpoint,source
dense,none,supervised,42,1.0,1.0,0.0,nan,1.5249784922599792,4.5950447392162515,0.548076171875,8.0,1.0,0.0,6368000,6368000.0,1399.100551832933,0.2604597805946134,14637.975786064533,20.058484522645742,49.85421500168741,nan,nan,nan,experiments/dense_seed42/checkpoints/best_val_loss.pt,experiments/dense_seed42/summary.json
dense,none,supervised,43,1.0,1.0,0.0,nan,1.5213987398147584,4.578625023368495,0.5487841796875,8.0,1.0,0.0,6368000,6368000.0,1434.910800874699,0.26586702823834496,14272.664187568813,138.9594623159785,7.196343331597745,nan,nan,nan,experiments/dense_seed43/checkpoints/best_val_loss.pt,experiments/dense_seed43/summary.json
dense,none,supervised,44,1.0,1.0,0.0,nan,1.5172484087944031,4.559661593380108,0.5495166015625,8.0,1.0,0.0,6368000,6368000.0,1379.8577175419778,0.2567389529862441,14842.109979630535,181.97560428251657,5.495242089964449,nan,nan,nan,experiments/dense_seed44/checkpoints/best_val_loss.pt,experiments/dense_seed44/summary.json
sparse,gru,supervised,42,0.5,1.0,0.1,nan,1.5204406929016114,4.574240586381917,0.5472216796875,8.0,1.0,0.0,6383088,6383088.0,1750.4150508749299,0.324053501687292,11700.082211794996,40.785823177799855,24.51832333113998,nan,nan,nan,experiments/gru_P050_lam0.1_seed42/checkpoints/best_val_loss.pt,experiments/gru_P050_lam0.1_seed42/summary.json
sparse,gru,supervised,43,0.5,1.0,0.1,nan,1.5219431877136231,4.581118524871391,0.5480712890625,8.0,1.0,0.0,6383088,6383088.0,1570.1740666669793,0.2908040741515346,13043.139887969908,88.00218863089154,11.363353747874498,nan,nan,nan,experiments/gru_P050_lam0.1_seed43/checkpoints/best_val_loss.pt,experiments/gru_P050_lam0.1_seed43/summary.json
sparse,gru,supervised,44,0.5,1.0,0.1,nan,1.5279059290885926,4.608516151147966,0.546025390625,8.0,1.0,0.0,6383088,6383088.0,1461.4608689579181,0.27071821348229425,14013.375544295677,82.83392532487258,12.072348329238594,nan,nan,nan,experiments/gru_P050_lam0.1_seed44/checkpoints/best_val_loss.pt,experiments/gru_P050_lam0.1_seed44/summary.json
sparse,gru,grpo,42,0.5,1.0,0.1,0.1,1.5204406929016114,4.574240586381917,0.5472216796875,8.0,1.0,0.0,6383088,6383088.0,611.8527237498201,0.5966692633382045,6694.421453086167,109.05942568374486,9.169312911108136,-1.3260345458984375,nan,nan,experiments/gru_grpo_P050_lam0.1_rl0.1_seed42/checkpoints/best_val_loss.pt,experiments/gru_grpo_P050_lam0.1_rl0.1_seed42/summary.json
sparse,gru,grpo,43,0.5,1.0,0.1,0.1,1.5219431877136231,4.581118524871391,0.5480712890625,8.0,1.0,0.0,6383088,6383088.0,547.9452755004168,0.535502515133936,7475.199044757316,96.35102605334399,10.378716667182744,-1.26363205909729,nan,nan,experiments/gru_grpo_P050_lam0.1_rl0.1_seed43/checkpoints/best_val_loss.pt,experiments/gru_grpo_P050_lam0.1_rl0.1_seed43/summary.json
sparse,gru,grpo,44,0.5,1.0,0.1,0.1,1.5279059290885926,4.608516151147966,0.546025390625,8.0,1.0,0.0,6383088,6383088.0,535.10843462497,0.5209380693738349,7654.523335762174,88.25431096269395,11.330891251564026,-1.3648946285247803,nan,nan,experiments/gru_grpo_P050_lam0.1_rl0.1_seed44/checkpoints/best_val_loss.pt,experiments/gru_grpo_P050_lam0.1_rl0.1_seed44/summary.json
sparse,linear,supervised,42,0.5,0.971177978515625,0.1,nan,1.539698133468628,4.663182399808036,0.5419970703125,7.769423828125,0.971177978515625,0.028822021484375,6372112,6190012.162500001,1601.1452360842377,0.3327778793460586,11511.760198017588,66.3543899726791,15.070592924021184,nan,-0.2248803525946726,-0.25545864601815194,experiments/linear_P050_lam0.1_seed42/checkpoints/best_val_loss.pt,experiments/linear_P050_lam0.1_seed42/summary.json
sparse,linear,supervised,43,0.5,0.982144775390625,0.1,nan,1.529989926815033,4.618130302784739,0.5426513671875,7.857158203125,0.982144775390625,0.017855224609375,6372112,6259301.262499999,1549.708498292137,0.28712401387030256,13215.388586027679,117.07930463695018,8.541219159960747,nan,0.013851611322452996,0.018934766426387663,experiments/linear_P050_lam0.1_seed43/checkpoints/best_val_loss.pt,experiments/linear_P050_lam0.1_seed43/summary.json
sparse,linear,supervised,44,0.5,0.9545843505859375,0.1,nan,1.5368322873115539,4.649837567699226,0.545166015625,7.6366748046875,0.9545843505859375,0.0454156494140625,6372112,6085172.29375,1518.797786375042,0.2817265195549466,13484.34938720855,115.16803306198814,8.682964998297393,nan,-0.2007792167271802,-0.2527234871425506,experiments/linear_P050_lam0.1_seed44/checkpoints/best_val_loss.pt,experiments/linear_P050_lam0.1_seed44/summary.json
